legid,reconstructed_duration
#29:10859,131
#24:38518,131
#25:38471,131
#22:38609,786
#224:35776,1049
#227:9965,1049
#225:35774,131
#222:35784,1049
#224:35827,1835
#225:35824,918
#224:35932,1835
#226:10347,131
#224:36955,1704
#223:36960,786
#224:36956,524
#222:36964,655
#222:37325,1180
#223:37322,786
#224:37317,131
#225:37312,2097
#222:37378,131
#224:37369,262
#223:38094,393
#229:10670,393
#224:38089,786
#226:10684,131
#222:38098,524
#223:38095,524
#225:38085,524
#222:38099,524
#223:38096,131
#227:10680,262
#224:38091,262
#225:38086,524
#224:38092,393
#225:38087,524
#222:38101,262
#223:38098,655
#25:6640,272
#27:1770,293
#22:6713,1126
#26:1793,276
#23:6693,1999
#22:6711,773
#28:1745,1436
#23:6692,1539
#29:1721,350
#24:6662,343
#24:7922,1303
#26:2107,472
#23:7953,636
#24:7923,4075
#27:2083,296
#24:7924,408
#28:2059,1554
#22:7975,500
#29:2033,1203
#25:7901,2549
#26:2108,299
#24:7926,2679
#25:7903,908
#22:7978,484
#27:2084,353
#23:7958,408
#24:7928,458
#28:2060,320
#25:7904,2274
#29:2034,962
#23:7959,1542
#24:7929,452
#22:7972,2081
#24:7921,1860
#29:2032,256
#24:7920,500
#27:2082,382
#22:7971,639
#28:2058,285
#23:7951,454
#23:7950,409
#25:21250,1225
#23:21339,950
#22:21370,1227
#22:21463,817
#24:22428,2721
#22:22613,464
#22:22614,673
#23:22579,1131
#22:22612,692
#26:6367,482
#23:22580,407
#27:6327,615
#24:22533,157
#25:36731,590
#27:10410,1282
#22:36869,679
#24:36770,182
#28:10369,287
#25:36723,1224
#22:36861,91
#25:36724,996
#22:36868,638
#26:10456,533
#23:36828,1019
#24:36777,534
#29:10328,269
#23:36827,930
#22:36853,388
#24:36758,1224
#28:10365,1760
#25:36712,667
#22:31399,1271
#23:31366,317
#24:31316,481
#26:8874,280
#25:31272,1117
#23:31365,551
#22:31397,1218
#24:36754,1079
#24:32123,409
#29:8979,342
#22:32208,885
#23:32170,859
#24:32119,956
#25:32074,1089
#24:32118,910
#23:32173,1495
#23:36804,699
#24:36752,309
#22:36842,996
#27:10402,395
#23:36802,139
#25:36729,792
#25:38254,1451
#22:38392,908
#23:38407,499
#24:38357,1043
#25:38310,272
#28:10847,2719
#23:38408,136
#22:38449,954
#26:10933,736
#23:38409,409
#25:38307,836
#22:38444,301
#24:38353,655
#24:38350,227
#27:10885,1008
#22:38441,3298
#28:10846,315
#23:38403,586
#222:34111,565
#223:34114,985
#223:34112,1172
#228:9501,293
#224:34112,2586
#225:34109,1179
#222:38792,862
#223:38800,1310
#223:38787,318
#227:10857,983
#224:38782,453
#224:38785,1355
#22:7106,408
#23:7087,574
#25:7041,232
#24:7065,2089
#24:7291,524
#26:1953,524
#25:7267,393
#28:1971,99
#23:7633,227
#24:7603,284
#29:1945,266
#25:7579,402
#26:2020,261
#22:7654,182
#22:8174,2147
#25:7581,1043
#23:8155,362
#27:2145,264
#24:8125,372
#22:8173,1420
#26:2169,1000
#25:8099,773
#24:7427,452
#26:1984,1554
#25:7403,378
#23:7638,314
#28:1973,530
#24:7608,211
#29:1947,1529
#25:7584,375
#22:8023,395
#23:8004,192
#24:7974,158
#26:2121,1163
#25:7950,144
#24:7803,3279
#25:7779,146
#23:8003,3419
#22:8126,773
#27:2127,270
#24:8076,990
#25:8052,915
#22:8127,677
#28:2103,1305
#23:8107,499
#23:10258,402
#24:10226,732
#25:10199,431
#23:10259,323
#22:10280,545
#24:10228,200
#24:10231,472
#25:9500,405
#23:9546,992
#28:2491,1554
#25:9489,227
#23:9955,682
#22:9970,993
#23:9949,896
#25:9894,875
#22:9973,227
#26:2656,385
#24:9922,409
#27:2630,622
#22:9974,165
#28:2606,241
#23:9954,138
#29:2579,299
#25:9896,825
#22:9975,896
#23:9946,326
#24:9913,262
#29:2576,503
#25:9886,514
#24:9915,282
#25:9888,579
#27:2628,1281
#23:10050,586
#28:3212,539
#29:3182,1642
#23:7456,918
#25:7761,2490
#23:7816,131
#24:7796,1049
#25:7772,1180
#26:2072,524
#24:7797,131
#27:2048,131
#25:7773,262
#28:2024,262
#22:7848,2621
#24:7436,729
#25:7412,183
#22:7487,160
#28:1938,239
#23:7467,903
#22:7551,493
#24:7514,411
#22:7565,142
#24:7525,137
#25:7501,818
#22:7576,179
#22:7710,2453
#24:7670,2522
#23:7810,1779
#25:7757,273
#26:2068,794
#27:2044,505
#23:7812,1263
#25:7759,1257
#25:7774,3554
#22:7873,3004
#28:2028,1027
#23:7853,340
#23:8007,5048
#27:2098,1237
#24:7977,1901
#22:8028,638
#22:8029,1288
#24:8005,397
#24:8096,891
#25:8072,168
#22:8147,1999
#23:8127,2277
#24:8097,366
#25:8073,386
#22:8148,1094
#23:8128,136
#24:8098,683
#25:8074,257
#24:8099,303
#28:2110,520
#25:8075,777
#29:2084,299
#22:8150,1370
#23:8130,91
#24:8100,714
#26:2159,1697
#25:8076,370
#22:8203,582
#24:8236,1198
#25:8212,1312
#22:8458,365
#23:8438,668
#27:2231,288
#24:8407,366
#25:8381,1101
#28:2207,297
#23:8439,320
#24:8408,229
#25:8382,1051
#22:8460,280
#26:2240,87
#23:8367,1278
#24:8336,2285
#25:8310,137
#27:2215,623
#22:8388,350
#24:8420,275
#25:8394,501
#26:2258,865
#23:8452,1909
#27:2233,1525
#24:8421,268
#25:8987,440
#27:2392,593
#23:9045,1221
#23:9044,591
#26:2417,979
#23:9048,1548
#24:9017,137
#25:8991,634
#25:9032,530
#22:9147,380
#22:9165,1005
#29:2364,393
#24:9114,1084
#23:9181,537
#28:2401,727
#24:9150,230
#29:2374,472
#25:9124,281
#26:2451,592
#22:9202,3618
#27:2426,251
#23:9182,137
#24:9151,930
#28:2402,901
#25:9125,773
#25:9143,431
#26:2458,479
#22:9221,254
#27:2433,727
#23:9201,593
#24:9170,320
#28:2409,1001
#25:9144,1643
#29:2382,407
#22:9222,1549
#26:2459,279
#24:9171,434
#24:9247,991
#22:9296,373
#23:9276,921
#25:9280,316
#22:9358,804
#26:2488,294
#23:9338,1146
#27:2463,676
#24:9307,1592
#28:2439,970
#22:9359,1319
#23:9339,183
#29:2412,359
#25:9282,228
#26:2489,473
#23:9340,546
#24:9309,183
#25:9283,864
#27:2464,236
#22:9361,4674
#23:9341,639
#23:9409,637
#24:9378,91
#27:2481,1398
#23:9421,568
#24:9390,582
#24:9401,1185
#25:9375,126
#26:2513,322
#22:9453,548
#27:2488,665
#23:9433,337
#23:9549,182
#24:9518,456
#27:2516,239
#22:9570,238
#28:2492,236
#23:9550,342
#29:2465,236
#24:9519,266
#26:2542,736
#25:9493,153
#27:2517,238
#22:9571,337
#28:2493,1602
#23:9551,638
#29:2466,355
#25:9494,549
#22:9572,1688
#23:9552,199
#26:2543,245
#24:9521,300
#27:2518,236
#25:9495,320
#22:9573,579
#28:2494,1137
#23:9553,366
#29:2467,758
#24:9522,1082
#25:9496,2058
#22:9574,765
#23:9554,268
#24:9523,513
#26:2544,648
#25:9497,1067
#23:9555,2130
#27:2519,370
#25:9498,651
#28:2495,518
