legid,reconstructed_duration
#23:7793,1285
#23:8260,302
#26:2213,1237
#24:8230,265
#23:8262,203
#24:8232,226
#28:2165,350
#23:8263,181
#24:8233,182
#25:8209,91
#29:2139,331
#26:2214,447
#23:8264,437
#27:2190,355
#24:8234,135
#25:8210,272
#28:2166,891
#22:8285,91
#23:8265,770
#29:2140,538
#24:8235,300
#24:8239,385
#24:8954,91
#25:8928,543
#22:9006,363
#23:8986,226
#23:8989,999
#29:2326,562
#22:9010,408
#24:8959,476
#26:2403,243
#25:8933,544
#22:9011,453
#24:8961,544
#25:8935,905
#22:9013,192
#26:2404,775
#23:8993,1199
#24:8962,1268
#25:8936,1133
#22:9014,1005
#24:8960,225
#27:2378,1145
#25:8934,242
#28:2354,242
#22:9012,1313
#29:2327,514
#23:8992,227
#25:9932,1052
#29:2587,2258
#22:10011,272
#24:9959,498
#22:10010,1086
#28:2614,715
#23:9990,340
#23:9989,226
#24:9958,277
#27:2638,549
#25:9931,967
#22:10597,788
#27:2809,906
#23:10577,445
#24:10544,706
#25:10517,499
#22:10598,1107
#28:2785,302
#23:10578,175
#29:2757,530
#24:10545,1223
#25:10518,725
#22:10599,1042
#24:6417,393
#25:6394,1704
#22:6537,393
#23:6519,131
#23:6585,1049
#24:6555,131
#28:1744,262
#25:6635,262
#22:6708,1180
#22:6815,1049
#23:6837,393
#24:6807,524
#25:6803,131
#22:6876,1311
#25:6810,262
#25:6828,524
#22:6920,655
#27:1832,131
#23:6931,1442
#24:7078,262
#25:7054,786
#22:7128,655
#24:6974,393
#23:7095,262
#24:7107,393
#25:7083,524
#23:7217,655
#24:7190,131
#25:7166,524
#24:7257,918
#24:7271,655
#29:1875,131
#22:7391,131
#22:7417,262
#26:1970,131
#25:7344,786
#23:7479,131
#24:7449,655
#23:7545,262
#25:7493,393
#25:7499,262
#22:7574,918
#23:7554,393
#25:7585,1311
#22:7660,393
#24:7660,393
#25:7636,262
#22:7711,524
#25:7763,1442
#23:7832,1311
#24:7786,1704
#28:2021,524
#25:7762,262
#23:7874,1573
#23:7963,1704
#24:7939,262
#25:7915,393
#22:8004,393
#25:7935,1049
#22:8010,262
#29:2043,262
#23:7990,131
#24:7960,262
#25:7936,262
#26:2118,655
#22:8011,655
#23:7991,918
#25:7957,1049
#22:8032,131
#22:8045,1049
#28:2078,655
#23:8025,918
#29:2052,524
#24:7995,918
#22:8061,918
#25:7992,1704
#22:8067,786
#23:8047,131
#22:8089,1049
#23:8069,131
#24:8039,786
#27:2117,131
#25:8015,1049
#22:8090,131
#29:2067,131
#23:8070,3015
#22:8092,918
#25:8102,131
#26:2170,131
#22:8177,1573
#27:2146,262
#23:8157,131
#24:8127,918
#22:8242,2490
#29:2123,131
#26:2198,131
#23:8222,786
#22:8373,393
#23:8353,1966
#23:8427,786
#26:2253,524
#24:8396,1180
#25:8370,786
#22:8502,1180
#23:8500,393
#23:8524,1704
#27:2265,262
#23:8574,524
#22:8688,1311
#23:8668,524
#25:8624,393
#22:8751,393
#23:8731,1966
#23:8775,131
#24:8744,524
#25:8718,262
#28:2293,131
#22:8796,131
#23:8776,393
#23:8803,1311
#24:8772,131
#25:8746,262
#25:8754,393
#24:8821,1049
#24:8825,655
#24:8836,786
#25:8881,1180
#29:2313,262
#22:8959,655
#25:8921,262
#22:8999,131
#25:6504,178
#22:6576,900
#23:6558,1112
#24:6660,318
#29:1720,283
#22:6710,659
#24:6784,327
#26:1824,334
#22:6834,218
#27:1801,855
#23:6815,764
#23:7192,738
#25:7138,319
#26:1919,1419
#23:7193,901
#23:7269,362
#25:10180,1324
#23:10239,451
#23:10240,454
#28:2683,503
#24:10208,91
#29:2655,232
#22:10261,1282
#24:10209,913
#27:2708,501
#25:10182,180
#28:2684,308
#23:10242,332
#29:2656,250
#25:10183,202
#26:2735,592
#22:10263,197
#23:10467,314
#24:10435,498
#22:10488,271
#29:2721,1611
#23:10468,243
#23:12057,2957
#22:14481,787
#26:4039,1047
#23:14458,190
#24:14421,924
#22:14482,271
#24:14422,192
#24:20499,407
#23:20547,512
#24:21403,587
#23:21451,532
#25:21362,536
#25:31575,497
#22:31704,543
#23:31670,2329
#24:32926,911
#24:6508,410
#23:6553,350
#24:6523,908
#25:6500,558
#25:6521,1407
#23:7445,603
#24:7515,683
#25:7491,318
#22:7566,791
#23:7546,1243
#24:7741,1135
#25:7717,410
#22:7792,671
#23:7772,732
#24:7742,1287
#25:7718,1087
#26:2057,337
#22:7793,769
#23:7773,805
#24:7743,317
#25:7719,770
#22:7840,1158
#27:2046,491
#23:7820,1136
#24:7790,240
#23:7821,379
#22:7876,296
#25:7905,226
#22:7980,908
#24:7930,1240
#23:7985,1364
#24:7985,136
#25:7961,1434
#24:8038,1086
#25:8014,227
#25:8263,273
#22:8338,1177
#29:2154,364
#23:8318,295
#24:8288,543
#26:2229,336
#25:8264,1042
#22:8339,272
#23:8319,272
#24:8289,849
#25:8265,518
#23:8838,805
#29:2287,303
#24:8807,433
#25:8781,534
#22:8859,1496
#23:8839,159
#24:8808,182
#25:8782,2823
#22:8860,2016
#23:8840,880
#24:8809,264
#26:2364,234
#25:8783,664
#22:8861,662
#23:8841,723
#24:8810,1068
#25:8784,461
#23:8928,1768
#24:8897,211
#25:8871,271
#27:2363,382
#22:8949,974
#22:9122,215
#23:9102,701
#24:9071,594
#22:9224,1379
#23:9204,743
#23:9283,743
#24:9252,1825
#23:9486,317
#24:9455,1337
#25:9429,730
#22:9902,1453
#23:9882,914
#25:9870,624
#28:2598,345
#22:9949,1189
#25:10005,497
#22:10084,451
#23:10064,847
#26:2685,427
#24:10033,621
#23:10184,91
#24:10152,1093
#24:10232,1063
#25:10205,1401
#23:10328,1577
#24:10296,91
#25:10269,737
#22:10349,620
#23:10329,898
#24:10297,1313
#25:10270,925
#25:10850,588
#22:10951,444
#28:2891,269
#23:10931,995
#25:11066,1759
#22:11149,781
#23:11129,722
#22:11298,916
#23:11278,859
#24:11244,235
#25:11216,675
#25:11514,1147
#29:3064,320
#23:11578,1396
#25:11301,656
#22:11384,253
#23:11364,672
#24:11330,637
#25:11303,786
#24:11343,585
#25:11478,815
#22:11562,552
#24:11545,769
#22:11600,1433
#27:3119,247
#23:11580,305
#23:11582,817
#24:11548,182
#25:11519,500
#23:11583,544
#27:3120,350
#25:11521,164
#29:3066,488
#23:11585,1582
#24:11551,1102
#23:11628,1038
#23:11629,1321
#22:11723,1392
#22:11870,634
#23:11850,252
#24:11816,1626
#25:11786,311
#22:11871,647
#23:12041,588
#23:12225,680
#24:12191,761
#25:12161,517
#23:12291,893
#29:3292,390
#24:12257,891
#25:12227,525
#23:12292,1043
#24:12258,577
#25:12228,891
#22:12313,424
#23:12294,1135
#22:12394,967
#25:12453,500
#22:12538,545
#27:3415,1254
#23:12518,1518
#23:12704,784
#24:12670,227
#25:12640,1073
#22:12725,510
#23:12705,589
#25:12641,361
#28:3438,1205
#22:12726,575
#23:12706,918
#24:12672,256
#25:12642,732
#24:12673,771
#26:3492,383
#25:12643,2067
#24:12811,1142
#25:12780,480
#23:12901,660
#24:12867,888
#25:12836,272
#22:12922,695
#24:13227,476
#29:3581,1525
#25:13194,2068
#26:3669,719
#22:13283,931
#23:13262,881
#27:3641,238
#24:13228,838
#25:13195,552
#22:13284,817
#23:13263,771
#25:13196,512
#24:13250,987
#26:3675,331
#25:13217,2372
#27:3647,616
#22:13306,123
#23:13482,499
#29:3650,432
#24:13447,3397
#25:13414,1572
#22:13504,929
#26:3739,396
#23:13483,812
#24:13448,459
#22:13559,795
#23:13538,193
#25:13470,1038
#24:13504,760
#24:13771,592
#25:13737,1004
#22:13828,195
#23:13807,632
#24:13772,136
#25:13738,1265
#22:13830,1354
#22:13905,217
#27:3824,247
#23:13884,183
#24:13849,1346
#24:13855,1152
#28:3797,246
#29:3766,341
#22:13912,191
#25:14196,294
#29:3881,241
#22:14292,761
#23:14269,312
#26:3975,430
#24:14232,793
#25:14197,905
#22:14293,202
#23:14270,646
#25:14199,91
#22:14295,1725
#28:3913,1349
#23:14272,639
#24:14235,1294
#25:14214,545
#27:3949,741
#22:14310,376
#23:14287,913
#24:14250,1050
#25:14215,972
#22:14311,327
#23:14288,655
#24:14251,853
#25:14216,295
#22:14312,336
#23:14289,477
#22:14470,798
#23:14447,230
#24:14410,432
#25:14375,675
#22:14471,861
#25:14376,1517
#23:14448,401
#24:14411,1077
#22:14472,405
#25:14486,279
#27:4041,523
#22:14584,1085
#23:14560,136
#28:4011,372
#25:14487,953
#22:14585,924
#23:14561,1057
#24:14523,181
#25:14488,1935
#23:14816,2035
#25:14743,859
#22:14841,91
#23:14817,465
#25:14744,991
#23:14897,927
#24:14858,784
#25:14823,463
#22:14922,997
#22:15229,797
#29:4184,402
#23:15205,788
#24:15165,624
#22:15230,250
#26:4282,434
#23:15206,1268
#27:4249,241
#24:15166,318
#25:15131,826
#25:15130,408
#22:15231,1003
#23:15207,1199
#24:15167,206
#25:15132,709
#25:15171,747
#22:15271,584
#23:15247,799
#24:15207,437
#23:15248,846
#25:15173,933
#22:15273,277
#23:15249,628
#24:15211,1096
#27:4263,482
#23:15252,2892
#23:15984,3438
#22:16011,500
#25:15965,1094
#28:4479,301
#24:16002,1595
#23:15985,544
#25:15907,887
#22:16012,946
#23:15986,169
#24:15944,790
#22:16013,580
#23:15987,862
#24:15945,182
#25:15909,677
#22:16014,718
#23:15988,515
#24:15946,728
#25:15910,757
#22:16015,407
#23:15989,922
#24:15947,324
#25:15911,727
#22:16016,634
#23:15990,205
#24:15948,464
#22:16071,614
#23:16045,545
#25:16438,500
#22:16554,340
#26:4664,234
#23:16526,87
#27:4628,469
#24:16480,117
#25:16440,1009
#23:16853,369
#24:17703,1349
#28:4960,264
#25:17661,210
#29:4923,243
#22:17783,299
#23:17751,765
#26:5036,323
#24:17704,984
#25:17662,914
#27:4998,247
#22:17784,226
#28:4961,1049
#23:17752,615
#29:4924,391
#24:17705,581
#25:17663,857
#22:17785,182
#23:17753,701
#24:17706,274
#25:17664,2082
#26:5037,502
#22:17786,769
#25:6488,330
#23:6542,1499
#24:6512,248
#28:1712,332
#25:6489,452
#22:6671,1093
#27:1762,181
#23:6652,350
#23:6715,181
#24:6685,500
#25:6662,632
#23:6716,407
#24:6686,314
#26:1799,579
#25:6663,305
#24:6745,449
#27:1790,531
#25:6722,585
#28:1766,252
#23:6776,675
#23:8512,135
#25:8455,2802
#24:8481,1046
#23:8510,770
#26:2274,1131
#25:8453,952
#22:8531,190
#27:2249,237
#23:8511,587
#24:8544,1359
#25:8649,907
#26:2321,349
#23:8707,408
#24:8676,1085
#25:8650,951
#25:8648,411
#29:2244,275
#23:8706,1091
#24:8675,313
#23:8703,797
#22:8723,950
#22:9558,810
#29:2462,471
#24:9507,1128
#25:9481,520
#22:9557,311
#28:2489,280
#24:9506,1015
#25:9480,309
#24:10135,363
#25:10108,2204
#22:10188,569
#22:10185,361
#23:10165,1920
#24:10133,214
#24:10132,391
#26:2717,385
#25:10105,764
#25:10353,2002
#24:10380,1801
#24:18666,540
#22:18748,615
#23:6546,1127
#23:6644,1154
#23:6689,1189
#24:6659,559
#22:6790,1182
#23:6771,1265
#25:7200,1015
#22:7274,501
#29:1864,337
#23:7255,366
#25:7201,385
#26:1937,684
#22:7275,943
#23:7256,1361
#24:7226,547
#27:1914,323
#25:7202,456
#22:7276,409
#28:1890,219
#24:7227,997
#24:7747,1250
#25:7723,408
#28:2009,1391
#22:7798,183
#23:7778,1182
#25:7724,1282
#22:7799,1446
#23:7779,1271
#28:4015,262
#24:14555,1451
#23:7976,876
#22:8046,2490
#23:8026,436
#24:7998,367
#29:2053,249
#25:7974,467
#22:8049,175
#26:2128,462
#23:8029,111
#24:8199,456
#28:2153,239
#25:8175,2262
#29:2127,670
#22:8250,921
#23:8028,1105
#24:8198,1755
#25:8174,144
#23:8266,1278
#24:8792,3649
#29:2282,974
#25:8766,4433
#26:2359,251
#22:8844,3946
#23:8824,4873
#27:2334,397
#24:8793,3503
#28:2310,499
#25:8767,790
#29:2283,298
#22:8845,4741
#26:2360,461
#23:8825,1217
#27:2335,642
#24:8794,166
#28:2311,302
#25:8768,501
#22:8846,593
#25:8800,456
#28:2318,665
#22:8878,265
#24:8857,623
#25:8831,665
#22:9089,1193
#23:9070,320
#25:9013,849
#23:9227,1036
#22:9248,249
#23:9228,200
#27:2439,308
#24:9197,955
#25:9347,1164
#25:9349,270
#23:9407,579
#28:2456,1134
#22:9428,353
#23:9408,956
#22:9660,1184
#24:9609,289
#26:2562,960
#25:9582,318
#22:9661,1220
#25:9826,178
#26:2635,1042
#22:9905,296
#23:9885,920
#24:9854,1043
#22:10419,1082
#22:10584,375
#26:2833,369
#23:10564,975
#22:10585,1061
#22:10424,593
#28:2729,1269
#23:10404,525
#24:10372,1208
#23:10565,1183
#25:10508,963
#22:10588,246
#22:10589,335
#27:2806,267
#24:10536,257
#28:2782,397
#25:10509,307
#24:10628,263
#26:2864,321
#25:10601,144
#25:10698,772
#26:2887,684
#22:10779,352
#24:10983,427
#29:2889,443
#25:10955,360
#23:11017,1232
#25:11148,1004
#22:11231,1006
#24:11404,1188
#23:11439,281
#23:11441,1242
#23:11442,1140
#24:11408,151
#23:11568,1603
#24:11534,1081
#25:11505,2219
#22:11955,405
#28:3207,417
#23:11935,457
#25:11871,1202
#23:11936,311
#26:3260,230
#24:11902,367
#22:11958,1178
#24:11904,786
#22:11959,1006
#22:12381,1046
#24:12328,273
#22:12383,1387
#23:12364,1139
#25:12303,304
#26:3399,310
#22:12388,1014
#22:12389,1275
#23:12369,852
#24:12338,719
#28:3348,532
#25:12308,432
#25:12374,653
#26:3422,1287
#22:12459,828
#24:13119,1174
#22:13175,1051
#23:13154,355
#25:13088,274
#29:3547,452
#22:13177,1262
#22:13348,1117
#23:13327,1314
#24:13293,594
#25:13259,1092
#23:13324,364
#28:3636,346
#24:13290,956
#22:13343,592
#27:3663,1132
#23:13322,351
#28:3635,524
#24:13288,401
#22:13955,1244
#26:3870,335
#23:13934,545
#24:13899,925
#25:13865,183
#25:13861,319
#28:3811,933
#23:13931,409
#22:13927,570
#23:13906,1124
#24:13871,1037
#22:14139,860
#26:3933,315
#23:14118,913
#24:14038,254
#28:3860,318
#25:14004,457
#23:14074,326
#26:3919,668
#24:14039,408
#24:14304,1309
#23:14342,889
#25:14270,971
#24:14552,1271
#25:14518,1428
#25:14520,1132
#22:14618,1106
#24:14556,1647
#29:3983,499
#22:14619,371
#24:14659,363
#26:4116,1074
#25:14624,419
#25:15389,13751
#28:4300,446
#22:15489,533
#23:15465,687
#24:15424,1299
#25:15163,1047
#23:15239,318
#29:4197,276
#24:15199,888
#25:15164,1047
#23:15464,366
#22:15264,1199
#24:15200,1040
#22:15265,1098
#25:15165,228
#24:15427,1107
#27:4332,453
#22:15492,268
#28:4301,397
#23:15468,575
#23:15505,468
#29:4274,623
#24:15465,611
#23:16522,587
#24:16476,1217
#25:16436,270
#22:16551,193
#29:4556,277
#23:16523,226
#24:16477,992
#26:4663,580
#25:16437,2162
#22:16552,270
#23:16524,1371
#27:4627,1670
#24:16478,1559
#23:22457,1111
#22:22489,350
#23:22717,1036
#24:22670,599
#25:24971,272
#28:7032,294
#22:25097,321
#25:22627,240
#22:25247,864
#22:25367,523
#22:25368,497
#26:7191,892
#24:25287,515
#24:26838,820
#22:27152,1001
#24:7199,2267
#23:7230,938
#25:7176,1920
#22:7250,91
#23:7231,911
#24:7201,223
#25:7177,1877
#22:7251,749
#25:7246,1521
#23:7299,268
#24:7269,1774
#22:7319,227
#23:7300,773
#24:7270,228
#23:7366,136
#24:7336,908
#27:1940,579
#22:7386,712
#24:7508,2157
#25:8194,1344
#25:8213,1204
#22:8288,328
#23:8268,2005
#24:8238,556
#25:8214,880
#22:8289,1425
#23:8269,1133
#22:8312,1870
#23:8292,279
#24:8262,898
#25:8438,695
#25:9427,1518
#24:9453,5170
#22:9504,301
#29:2449,298
#23:9484,1096
#25:9862,1595
#23:10128,133
#24:10096,819
#25:10069,530
#25:10151,1222
#24:10291,688
#25:10264,1402
#23:11336,994
#27:3047,272
#24:11302,304
#25:11274,479
#22:11357,408
#23:11337,2591
#24:11728,370
#25:11699,448
#22:11783,2207
#23:11763,762
#25:11705,694
#26:3210,402
#22:11789,1514
#27:3182,413
#24:11730,2049
#22:11785,584
#23:11765,321
#24:11729,283
#25:11700,654
#26:3209,342
#22:11784,183
#25:11704,431
#22:11788,183
#23:11768,1501
#24:11734,172
#29:3128,315
#22:11787,2512
#23:11767,621
#24:11733,228
#25:11702,487
#28:3158,605
#22:11786,1850
#23:11766,1058
#24:11732,179
#25:11896,1410
#24:11926,1497
#24:11980,2413
#23:12076,410
#24:12042,1299
#25:12048,1275
#24:12189,84
#27:3314,717
#22:12244,160
#23:12224,1852
#24:12190,91
#25:12160,727
#22:12245,236
#22:12468,814
#23:12448,901
#24:12414,4812
#25:12384,3392
#26:3441,937
#23:12505,318
#27:3413,560
#25:12441,1776
#23:12506,639
#24:12472,183
#23:19747,443
#28:5468,394
#24:19700,503
#24:19702,896
#27:5506,850
#25:19660,869
#22:12625,673
#23:12605,1190
#24:12756,646
#24:19703,89
#25:19661,1780
#22:14120,137
#23:14099,1984
#28:3866,248
#22:14122,385
#29:3835,1389
#23:14101,3180
#24:14066,219
#25:14030,89
#27:3894,591
#22:14121,1959
#23:14100,677
#24:14065,178
#26:3751,453
#23:13520,1092
#24:13485,273
#25:13452,1085
#24:13434,119
#29:3649,314
#25:13401,445
#23:13678,1293
#24:14064,2343
#22:14118,1393
#24:14853,1345
#28:4120,737
#22:14917,1184
#23:14893,227
#24:14854,637
#25:14819,182
#23:14894,214
#29:4087,1374
#24:14855,1047
#25:14820,214
#26:4184,238
#22:14919,279
#29:4112,585
#23:14993,1189
#24:14954,137
#25:14919,912
#22:15018,135
#25:14918,1149
#23:14991,94
#28:4145,295
#24:14952,91
#25:14917,1807
#23:14992,761
#24:14953,190
#23:14990,502
#24:14951,352
#27:4175,345
#22:15015,969
#22:15014,405
#23:15377,1912
#29:4242,570
#24:15337,752
#22:15116,1108
#23:15092,1359
#24:15053,181
#24:15336,365
#25:15301,182
#22:15401,3756
#24:15335,586
#25:15300,1180
#28:4275,237
#23:15376,314
#24:15398,502
#25:15363,954
#22:15463,90
#29:4262,1198
#23:15439,910
#24:15399,867
#25:15364,888
#26:4360,244
#23:15440,545
#24:15400,190
#23:19735,1130
#25:19875,257
#27:5559,715
#22:19997,449
#23:19965,182
#24:19918,1131
#25:19876,1364
#22:20000,3926
#24:19920,227
#25:19878,1768
#23:19966,1032
#24:19919,132
#25:6631,1049
#25:6739,655
#22:6813,655
#24:6827,262
#25:7087,1442
#25:7103,1311
#24:7426,918
#23:7691,918
#22:7827,1442
#23:7807,1311
#22:7837,1704
#23:7817,786
#24:7787,262
#25:7801,1573
#24:7843,1704
#24:7933,524
#25:7916,918
#22:7991,131
#26:2111,131
#24:7941,131
#25:7917,262
#22:7992,262
#27:2087,262
#28:2063,131
#23:7972,262
#29:2037,131
#24:7942,918
#23:8014,786
#24:8033,1180
#28:2090,393
#22:8084,524
#23:8064,1049
#27:2115,131
#24:8034,131
#25:8010,3146
#29:2065,131
#22:8085,918
#22:8238,2228
#23:8218,786
#23:8219,393
#24:8189,262
#25:8165,1049
#28:2149,1180
#22:8280,2097
#22:8501,1049
#25:8330,1049
#23:8517,524
#25:8466,1311
#27:2252,524
#22:8544,131
#25:8567,1311
#25:8695,262
#22:8823,524
#22:8931,1704
#24:8906,1049
#25:8880,393
#22:8958,655
#23:8977,2621
#23:9015,2753
#25:6614,610
#25:6660,1731
#22:6733,95
#24:6684,3320
#25:6661,453
#29:1727,500
#22:6734,1034
#25:6715,1011
#28:1763,1560
#22:6788,3949
#23:6803,366
#23:6812,582
#26:1823,875
#24:6782,364
#25:6855,1536
#22:6928,4141
#23:6909,1506
#25:7236,1717
#22:7310,1868
#25:7426,2928
#22:7590,273
#23:7570,588
#24:7540,317
#24:7858,316
#25:7834,1618
#24:7994,522
#22:8059,1843
#25:8457,2391
#22:8535,2310
#23:8758,2622
#23:8759,1308
#23:8833,1548
#23:8915,776
#22:9085,963
#27:2397,319
#23:9065,1188
#24:9034,577
#24:9316,396
#29:2415,219
#25:9290,316
#22:9368,373
#23:9348,986
#24:9336,4353
#24:9387,1123
#22:10085,2091
#23:10065,3026
#24:10355,1387
#25:10167,363
#24:11483,2025
#22:10408,77
#24:10985,1851
#22:11374,1196
#24:11320,4205
#24:11321,3888
#22:11539,1595
#23:11519,1245
#24:11659,1404
#25:11630,3381
#22:11714,1525
#27:3155,479
#23:11694,2320
#25:11754,409
#22:11839,588
#23:11819,1319
#24:12086,10050
#29:3225,239
#25:12056,1042
#22:12141,136
#23:12121,2029
#26:3308,250
#24:12087,136
#24:12150,6670
#22:12205,486
#23:12185,3547
#25:12120,364
#23:12296,7108
#24:12262,1068
#23:21397,91
#24:21350,164
#22:22356,471
#23:22326,1561
#22:22779,1170
#23:22747,481
#23:23095,589
#28:6453,263
#24:23048,1268
#25:23603,1313
#23:25056,2990
#22:25088,1561
#22:25532,4279
#27:7198,937
#25:25407,4581
#23:25502,4706
#26:7240,1307
#24:25453,3179
#27:7199,244
#22:25535,172
#28:7161,350
#22:25533,955
#28:7160,526
#23:25501,255
#25:26454,1239
#26:7560,737
#22:26580,715
#25:26458,940
#23:27374,1363
#24:27325,426
#23:7448,476
#29:1907,430
#24:7418,814
#25:7394,770
#24:8266,339
#28:2173,581
#22:8317,136
#25:8735,1038
#28:2300,612
#24:8762,241
#24:8267,1669
#29:2147,390
#25:8243,857
#25:8736,945
#29:2273,698
#23:8794,980
#22:8815,1133
#23:8795,90
#25:8926,3621
#22:9003,769
#27:2376,70
#23:8983,498
#28:2352,162
#24:8952,362
#24:21736,606
#22:24271,721
#23:24239,361
#24:24191,1808
#24:25241,1161
#24:27772,420
#25:32898,1057
#23:32993,499
#25:32899,225
#22:33028,2062
#23:8645,660
#24:8614,266
#27:2281,352
#22:8666,15251
#24:8616,181
#23:8652,560
#24:8621,1583
#25:8595,292
#22:8673,1712
#23:8653,367
#24:8622,1332
#22:8674,986
#28:2189,898
#22:8381,940
#24:10513,167
#22:9042,1442
#25:8607,262
#24:8271,1442
#24:8321,131
#25:8346,9044
#24:8467,447
#24:8541,966
#24:8548,762
#27:2360,256
#23:8920,214
#28:2336,234
#24:8889,364
#29:2309,1045
#25:8863,371
#26:2386,264
#22:8941,590
#27:2361,240
#23:8921,475
#24:8890,376
#28:2337,599
#25:8864,370
#29:2310,327
#22:8942,1724
#25:8651,820
#22:8939,459
#23:8919,1435
#26:2440,419
#24:9111,133
#22:9569,1319
#25:17651,779
#26:5033,393
#23:17741,620
#29:4941,521
#23:17816,374
#24:17769,150
#26:5054,1320
#25:17727,365
#22:20885,5925
#23:20853,379
#27:5810,236
#24:20806,385
#25:20764,433
#28:5773,821
#22:20886,194
#29:5736,526
#23:20854,395
#24:20807,617
#23:21092,1105
#23:21093,561
#24:21046,235
#25:21004,925
#28:5849,425
#23:21094,331
#29:5812,436
#24:21047,95
#23:22601,443
#28:6296,356
#25:22511,194
#22:22634,177
#29:6259,242
#23:22602,206
#26:6374,756
#24:22555,429
#27:6334,375
#25:22512,590
#24:23388,695
#23:22921,5656
#23:23434,321
#23:8573,524
#29:2214,262
#22:8597,524
#25:8548,131
#29:2220,393
#22:8626,131
#24:8588,131
#29:2223,786
#25:8562,393
#23:8709,1049
#28:2272,524
#27:2297,131
#25:8701,1573
#29:2260,131
#22:8821,262
#23:8847,655
#22:8906,393
#26:2385,524
#24:8887,131
#24:9116,1180
#28:2392,786
#25:9090,131
#22:9168,131
#24:9202,655
#24:9242,393
#26:2388,1049
#22:8948,2490
#23:9388,131
#29:2425,655
#24:9357,786
#25:9331,262
#24:9568,393
#27:2483,2097
#25:9372,393
#24:9615,131
#23:9771,393
#26:2597,786
#22:9867,131
#23:9935,918
#22:9956,262
#27:2625,131
#23:9936,1573
#28:2601,918
#24:9905,131
#22:9963,262
#28:2603,524
#23:9943,393
#24:9912,393
#23:10068,131
#22:10111,524
#23:10091,393
#24:10060,262
#23:10109,131
#24:10078,393
#22:10210,131
#23:10272,918
#27:2715,131
#28:2691,131
#22:10293,918
#23:10273,786
#25:10266,786
#23:10339,262
#28:2813,262
#24:10629,918
#23:10528,524
#24:10495,918
#25:9121,228
#22:9199,1184
#23:9179,410
#22:9548,632
#22:9578,1353
#22:9731,520
#25:9653,1164
#23:9712,319
#23:9711,409
#23:9743,1358
#28:2538,148
#25:9685,90
#23:9749,91
#24:9718,960
#24:10483,831
#22:10537,678
#23:10517,589
#25:11878,822
#24:11909,793
#24:11997,679
#23:13169,709
#23:14241,609
#27:3937,1225
#22:14265,352
#28:3908,1021
#23:14242,1811
#24:14205,7421
#25:14171,452
#22:14267,3447
#24:14207,3998
#22:14268,135
#23:14245,225
#24:14208,1987
#25:14173,183
#23:14246,2173
#29:3877,313
#24:14209,2527
#26:3970,536
#25:14174,271
#22:14270,136
#23:14247,454
#24:14210,2417
#27:3938,1439
#25:14175,918
#22:14271,1595
#23:14248,5676
#24:13142,2681
#26:3640,639
#22:13198,369
#27:3612,348
#23:13177,744
#28:3584,809
#25:13110,2302
#24:13144,7457
#22:13200,2304
#23:13179,271
#24:13145,541
#25:13112,678
#24:13148,408
#25:13115,1869
#29:3553,265
#22:13204,496
#23:13183,788
#24:13149,846
#23:13189,635
#24:13155,461
#23:19838,9356
#25:19753,3522
#22:20120,2076
#25:19999,825
#22:20404,1153
#22:21229,585
#23:21197,1113
#22:21230,776
#23:21441,917
#25:10479,393
#22:27542,1556
#223:37006,1556
#224:36968,226
#227:10346,483
#225:36964,364
#222:36976,296
#24:28263,372
#22:28346,702
#222:40625,776
#225:40609,91
#222:40626,1332
#223:40622,828
#224:40617,2268
#225:40610,2473
#224:40618,350
#225:40611,814
#229:11335,335
#222:40628,546
#223:40624,815
#224:40619,3037
#226:11351,594
#225:40612,2276
#225:40613,181
#222:40630,1982
#223:40626,1287
#224:40621,1679
#225:40614,999
#229:11336,1353
#222:40631,906
#226:11352,241
#223:40627,431
#224:40622,575
#222:40632,273
#224:40623,1721
#225:40616,215
#222:40633,1413
#223:40629,319
#224:40624,387
#225:40617,1640
#222:40634,749
#223:40630,821
#224:40625,226
#227:11348,435
#225:40618,1185
#222:40635,810
#224:40626,1143
#225:40619,136
#223:43986,397
#223:40633,2109
#229:11337,1794
#224:40628,1045
#225:40621,1396
#223:40632,1621
#228:11340,822
#224:40627,872
#225:40620,681
#225:43972,1092
#228:12230,598
#222:43990,1444
#24:12983,3103
#22:13410,1332
#23:13783,1021
#25:13714,648
#24:13748,387
#25:13715,586
#24:13792,878
#24:14513,382
#22:14833,1835
#23:14994,1049
#22:15591,393
#24:16150,655
#22:16430,131
#24:17892,393
#23:19780,393
#24:19926,524
#22:20543,393
#25:20774,262
#24:21269,655
#24:21393,524
#22:15114,262
#24:15100,855
#28:4203,567
#22:15187,1129
#25:16257,6761
#25:16411,386
#29:4553,507
#22:16525,1672
#22:16811,5326
#29:4789,152
#24:17263,690
#26:4897,961
#23:17310,641
#25:17761,2559
#22:18750,2171
#23:19087,2991
#23:19091,2115
#28:5404,1024
#25:19404,307
#29:5367,1147
#22:19526,3614
#24:19479,2026
#28:5413,1372
#25:19437,519
#22:19892,986
#23:19978,3420
#22:16380,408
#23:16353,989
#22:16381,219
#23:16354,616
#22:16477,1992
#27:4612,593
#23:16449,2492
#28:4578,1028
#24:16403,2170
#29:4543,1175
#25:16364,2355
#28:4579,1474
#24:16404,3625
#23:16424,1662
#25:16477,515
#24:16518,184
#25:16478,141
#23:16564,166
#24:16616,262
#26:4712,318
#25:16576,1400
#22:16691,621
