legid,ACT,CP,GT,WYR
#23:35651,0,4,-2,0
#23:35652,1,8,6,0
#23:35655,0,3,3,0
#23:35658,0,0,-1,0
#23:35659,1,9,9,0
#23:35664,0,0,1,0
#23:35665,0,0,1,0
#23:35666,0,0,1,0
#23:35669,1,0,0,0
#23:3568,0,0,0,0
#23:35687,-1,1,2,0
#23:35694,0,-2,-1,-2
#23:35696,0,5,1,0
#23:35705,0,-1,0,0
#23:35712,0,1,0,0
#23:3572,1,0,0,-1
#23:35722,1,4,3,0
#23:35723,0,5,3,0
#23:35725,0,5,3,0
#23:35726,0,5,3,0
#23:35731,0,1,0,0
#23:35732,0,0,0,0
#23:35734,0,0,0,0
#23:35737,1,0,3,-1
#23:35739,-1,2,1,-1
#23:35743,1,4,5,2
#23:35750,0,1,0,1
#23:35751,0,1,0,0
#23:35754,0,2,1,0
#23:35763,0,0,1,0
#23:35766,-1,2,2,0
#23:3577,1,0,2,3
#23:35771,0,0,4,1
#23:35773,0,1,0,0
#23:35775,0,1,1,0
#23:35779,0,4,2,0
#23:35785,1,2,5,-2
#23:35794,1,9,10,6
#23:35801,1,2,3,0
#23:35806,0,0,0,0
#23:35810,1,1,-7,-3
#23:35820,0,-1,-3,-3
#23:35828,1,2,2,2
#23:35830,1,1,0,0
#23:35836,1,3,2,0
#23:35847,0,0,0,1
#23:35851,0,1,0,0
#23:35852,1,0,0,0
#23:35855,1,5,5,0
#23:35865,0,0,1,0
#23:35866,0,1,1,0
#23:35872,1,1,1,0
#23:35876,0,3,0,0
#23:35879,0,1,2,0
#23:3588,-1,0,6,9
#23:35880,1,0,0,0
#23:35881,1,4,3,0
#23:35886,0,-1,2,0
#23:35887,0,0,0,0
#23:35894,0,1,1,0
#23:35895,0,2,1,0
#23:35897,0,1,0,0
#23:35900,-1,1,9,0
#23:35903,1,6,5,1
#23:35906,0,1,2,0
#23:35907,0,3,3,0
#23:35908,0,3,0,0
#23:3591,0,0,3,-1
#23:35910,0,0,1,0
#23:35912,1,7,8,0
#23:35919,0,0,0,0
#23:35922,0,0,1,0
#23:35934,0,2,1,0
#23:35936,0,1,0,0
#23:35939,1,1,2,0
#23:35941,1,4,5,2
#23:35945,1,2,3,0
#23:35948,1,5,4,0
#23:35951,0,1,0,0
#23:35955,0,0,0,0
#23:35964,0,2,1,0
#23:35965,0,2,5,0
#23:35972,1,1,0,-1
#23:35977,0,-2,-1,0
#23:35979,0,0,0,0
#23:35980,0,0,0,0
#23:35982,1,-1,6,-3
#23:35983,0,1,1,0
#23:35985,1,6,0,0
#23:35986,0,2,-1,0
#23:35987,0,1,5,0
#23:35995,0,0,5,0
#23:35998,0,1,-1,0
#23:3600,0,0,0,0
#23:36000,0,-1,0,0
#23:36001,0,0,0,0
#23:36013,0,9,10,7
#23:36017,0,0,4,0
#23:36019,0,0,1,0
#23:36022,0,1,1,0
#23:36029,0,2,-2,0
#23:36031,0,0,1,0
#23:36039,0,-2,2,1
#23:3604,1,3,0,0
#23:36045,0,-1,-2,0
#23:36048,0,0,0,0
#23:36053,0,0,3,0
#23:36056,0,0,2,0
#23:36061,0,-1,-2,0
#23:36068,1,7,6,0
#23:36069,0,0,1,0
#23:36074,0,-1,2,0
#23:36079,0,-7,0,0
#23:36083,0,0,0,0
#23:36085,0,4,6,0
#23:36100,0,8,0,0
#23:36101,0,1,0,0
#23:36103,0,0,1,0
#23:36111,0,4,0,0
#23:36122,0,0,0,0
#23:36127,-1,-6,-5,0
#23:36138,0,4,3,0
#23:36145,1,9,9,0
#23:36150,0,-1,0,0
#23:36171,0,4,4,0
#23:36174,0,0,4,0
#23:3618,1,0,0,2
#23:36181,1,-1,2,0
#23:36184,-1,0,2,0
#23:36186,0,0,0,0
#23:36191,0,0,2,0
#23:36192,1,0,0,0
#23:36195,1,2,6,0
#23:36196,0,3,0,0
#23:36197,0,1,0,0
#23:36205,1,0,0,0
#23:36209,0,0,0,0
#23:36213,1,0,0,0
#23:36214,0,0,0,0
#23:36217,1,9,12,0
#23:36219,1,9,6,0
#23:36222,0,1,0,0
#23:36223,0,1,1,0
#23:36224,0,0,0,0
#23:36227,0,0,2,0
#23:36255,1,2,9,0
#23:36257,0,1,0,0
#23:36258,0,0,0,0
#23:3626,0,0,4,-1
#23:36268,0,0,1,0
#23:36270,1,3,3,0
#23:36276,0,0,0,0
#23:36283,0,0,0,0
#23:36284,0,0,-1,0
#23:36292,0,1,2,0
#23:36294,0,0,0,0
#23:36299,0,-2,-2,0
#23:3630,0,-2,-2,0
#23:36300,0,4,3,0
#23:36305,1,3,2,0
#23:36307,0,-1,3,-4
#23:36311,0,4,2,0
#23:36318,0,1,0,0
#23:36321,0,-3,4,0
#23:36324,-1,-1,-12,0
#23:36326,0,4,1,0
#23:36334,1,0,0,0
#23:36341,1,11,9,0
#23:36348,1,1,0,0
#23:36349,1,1,1,0
#23:3635,1,0,0,0
#23:36350,1,0,0,0
#23:36351,1,1,1,0
#23:36354,1,1,1,0
#23:36361,0,0,0,0
#23:36366,0,1,0,0
#23:36372,1,1,1,0
#23:36374,1,1,0,0
#23:36375,0,4,0,0
#23:36376,0,1,1,0
#23:36381,0,3,1,0
#23:36387,1,1,0,0
#23:36388,0,0,2,0
#23:36391,0,0,3,0
#23:36392,1,2,0,0
#23:36394,1,1,0,0
#23:36413,1,1,0,0
#23:36414,1,7,6,0
#23:36416,1,5,0,0
#23:36417,1,2,3,3
#23:36418,1,1,0,0
#23:36420,0,0,0,0
#23:36422,-1,1,7,0
#23:36424,0,-1,1,0
#23:36427,-1,5,3,0
#23:36430,1,0,2,-1
#23:36432,1,4,2,0
#23:36434,0,4,1,0
#23:36435,0,6,4,0
#23:36442,1,3,0,0
#23:36445,1,0,0,0
#23:36446,1,0,0,0
#23:36454,0,1,0,0
#23:36456,1,1,1,1
#23:36462,1,1,1,0
#23:36464,1,0,0,0
#23:3647,0,-1,0,1
#23:36488,0,0,0,0
#23:36491,1,4,2,3
#23:36492,1,5,9,0
#23:36498,-1,5,-1,0
#23:36510,1,0,0,0
#23:36514,1,2,0,0
#23:36533,0,-6,2,-1
#23:36540,-1,9,8,0
#23:36543,1,10,9,0
#23:3655,1,0,0,1
#23:36550,1,4,11,0
#23:36551,0,-2,-4,0
#23:36557,0,3,-6,0
#23:3656,1,6,1,1
#23:36564,0,0,0,0
#23:36566,-1,0,0,0
#23:36568,1,1,1,0
#23:36569,0,1,2,3
#23:3657,0,0,0,0
#23:36571,-1,0,0,0
#23:36573,0,9,7,0
#23:36578,0,2,0,0
#23:36579,1,0,0,0
#23:3658,0,0,0,0
#23:36583,1,2,2,0
#23:36584,0,0,1,0
#23:36587,1,1,4,0
#23:36590,0,3,0,0
#23:36597,0,0,3,0
#23:36599,0,4,-1,0
#23:3660,1,0,3,5
#23:36606,-1,-1,-10,-6
#23:36607,0,2,-1,0
#23:36608,-1,-6,-3,0
#23:36613,0,0,0,0
#23:36614,0,5,3,0
#23:36615,1,2,0,0
#23:36619,1,8,7,0
#23:36630,0,-3,-2,0
#23:36633,0,0,0,0
#23:36644,0,0,1,0
#23:36648,0,0,7,0
#23:36649,0,9,11,0
#23:3665,0,0,0,1
#23:36650,0,0,7,0
#23:36651,0,9,11,0
#23:36652,-1,0,0,0
#23:36659,1,6,5,2
#23:36661,0,6,4,0
#23:36662,1,1,3,0
#23:36663,0,4,6,0
#23:36668,1,7,6,-3
#23:36672,0,10,-8,0
#23:36673,0,0,0,0
#23:36678,0,0,1,0
#23:36679,0,0,1,0
#23:36685,0,1,1,0
#23:36697,0,0,3,0
#23:36709,0,0,1,0
#23:3671,0,-1,1,0
#23:36713,0,0,2,0
#23:36716,0,1,1,0
#23:36718,1,0,0,0
#23:36720,0,4,0,0
#23:36725,0,0,0,0
#23:36734,-1,3,2,0
#23:36740,0,0,1,0
#23:36750,0,1,0,0
#23:36755,0,0,0,0
#23:36756,0,0,1,0
#23:36760,0,0,2,0
#23:36763,0,0,5,0
#23:36771,1,2,1,0
#23:36773,1,1,1,0
#23:36776,0,0,1,0
#23:36777,0,0,1,0
#23:36779,1,0,0,1
#23:36780,0,0,1,0
#23:36781,0,0,1,0
#23:36790,1,0,0,0
#23:3680,0,0,4,3
#23:36804,0,-4,0,0
#23:36821,0,1,2,0
#23:36822,0,4,2,0
#23:36823,0,1,0,0
#23:36826,1,0,0,0
#23:36828,0,2,0,0
#23:36836,0,0,1,0
#23:36839,0,0,4,0
#23:36853,0,3,1,0
#23:36854,0,1,1,0
#23:36855,0,2,1,0
#23:36856,0,6,1,0
#23:3687,0,0,1,0
#23:36870,0,1,-1,0
#23:36877,1,-1,0,0
#23:3688,0,0,1,0
#23:36881,0,0,9,0
#23:36883,1,0,0,0
#23:36885,0,2,2,0
#23:36886,0,1,1,0
#23:36888,1,3,3,-3
#23:36889,0,0,2,1
#23:3689,1,0,0,1
#23:36893,0,2,3,0
#23:36895,0,-1,4,0
#23:36898,0,1,3,0
#23:36907,0,2,0,0
#23:36910,-1,4,8,0
#23:36918,1,6,5,2
#23:36920,0,0,1,0
#23:36927,1,11,9,0
#23:36928,1,11,9,0
#23:36933,0,0,1,0
#23:36937,0,2,0,0
#23:36939,0,1,0,0
#23:36945,0,5,3,0
#23:36953,-1,6,2,0
#23:36955,-1,8,6,0
#23:36957,0,0,1,0
#23:36967,1,0,0,0
#23:36969,1,0,0,0
#23:36971,-1,0,0,0
#23:36973,1,2,0,0
#23:36975,1,3,9,0
#23:36976,-1,3,-3,0
#23:36977,0,6,5,0
#23:36981,0,4,3,0
#23:36985,1,0,0,0
#23:36990,0,0,1,0
#23:36991,-1,0,0,0
#23:37000,0,0,0,0
#23:37001,0,0,0,0
#23:37002,0,0,0,0
#23:37003,1,0,0,0
#23:37005,0,3,2,0
#23:37007,0,-8,3,0
#23:37015,0,1,0,0
#23:37017,1,0,1,0
#23:37018,0,3,4,0
#23:37026,0,0,0,0
#23:37030,0,0,0,0
#23:37032,0,0,0,0
#23:37033,0,0,0,0
#23:37035,0,0,0,0
#23:37036,0,5,2,0
#23:37039,0,0,0,0
#23:37041,0,1,2,0
#23:37043,0,0,0,0
#23:37045,0,1,1,0
#23:37051,0,1,2,0
#23:37056,0,2,3,0
#23:37059,1,2,4,0
#23:37061,0,-1,-1,0
#23:37077,0,0,1,0
#23:37081,0,1,1,0
#23:37083,0,1,1,0
#23:37084,1,-1,-5,0
#23:37086,1,-3,-3,0
#23:37093,1,-3,-2,-3
#23:37095,0,3,0,0
#23:37097,0,0,0,0
#23:37100,1,0,0,0
#23:37104,1,1,1,0
#23:37109,0,0,1,0
#23:37121,0,1,0,0
#23:37129,0,0,2,0
#23:37131,0,2,4,0
#23:37149,0,0,1,0
#23:37150,1,0,9,0
#23:37157,1,0,0,0
#23:37158,0,0,2,0
#23:37167,1,2,2,0
#23:37169,0,0,5,0
#23:37170,0,5,0,0
#23:37171,1,0,0,0
#23:37182,1,3,4,0
#23:37186,0,0,0,0
#23:37188,0,2,0,0
#23:37192,0,-1,0,-1
#23:37198,0,2,4,0
#23:37201,0,0,4,0
#23:37206,0,0,2,0
#23:37211,0,0,-2,0
#23:37213,1,3,7,0
#23:37214,0,2,1,0
#23:37216,1,1,1,0
#23:37228,1,3,5,0
#23:37230,0,0,0,0
#23:37231,0,6,1,0
#23:37232,0,3,1,0
#23:37238,0,1,1,0
#23:37239,0,0,0,0
#23:37243,0,2,1,0
#23:37271,1,5,0,0
#23:37278,0,4,1,0
#23:37292,0,0,0,0
#23:37295,1,0,0,0
#23:37297,1,1,1,0
#23:37298,-1,-1,0,0
#23:37299,0,1,-2,0
#23:37301,0,-1,-1,0
#23:37303,0,0,3,1
#23:37309,0,0,1,0
#23:37310,0,0,1,0
#23:37313,0,0,1,0
#23:37315,0,7,0,0
#23:37316,0,-3,-1,0
#23:37318,0,0,-5,0
#23:3733,0,0,0,0
#23:37335,0,0,2,0
#23:37337,0,3,-1,0
#23:37339,0,0,3,-1
#23:37347,0,0,1,2
#23:37349,0,0,-1,0
#23:37350,0,0,2,2
#23:37368,1,0,0,0
#23:37372,0,0,-1,0
#23:37375,0,0,-1,0
#23:37377,0,0,2,0
#23:37391,1,0,0,0
#23:37392,0,-1,-1,0
#23:37394,0,6,9,0
#23:37399,0,0,0,0
#23:37401,0,5,5,0
#23:37408,0,0,0,0
#23:37409,0,0,-1,0
#23:3741,0,0,0,8
#23:37410,1,-1,7,0
#23:37412,0,0,3,0
#23:37419,0,4,-1,0
#23:37420,0,4,0,0
#23:37428,0,0,1,0
#23:37430,0,3,2,0
#23:37433,0,2,0,0
#23:37452,-1,-1,0,0
#23:37453,1,1,2,0
#23:37458,0,-1,3,0
#23:37459,1,7,9,0
#23:37461,0,1,0,0
#23:37463,0,0,1,0
#23:37465,0,2,0,0
#23:37468,-1,-3,-2,0
#23:37469,1,3,3,0
#23:3748,0,0,-1,4
#23:37501,0,0,2,0
#23:37504,0,2,2,0
#23:37508,1,2,5,0
#23:37514,0,1,2,0
#23:37515,1,9,12,0
#23:37523,1,5,2,0
#23:37534,1,6,7,0
#23:37538,0,6,7,0
#23:37541,0,0,0,0
#23:37551,0,2,1,0
#23:37587,0,3,0,0
#23:37589,0,0,1,0
#23:37591,0,0,3,2
#23:37596,-1,0,-3,0
#23:37599,-1,7,-5,0
#23:37603,1,10,5,0
#23:37609,0,0,0,2
#23:37622,0,1,2,0
#23:37625,0,-1,0,0
#23:37628,1,0,0,0
#23:37629,0,2,0,0
#23:37632,0,1,0,0
#23:37638,0,1,0,0
#23:3764,-1,-7,0,-7
#23:37641,1,0,0,0
#23:37658,1,0,0,0
#23:3766,1,0,8,11
#23:37663,1,0,0,0
#23:37665,0,4,0,0
#23:37668,0,0,-2,0
#23:37674,1,0,0,0
#23:37675,0,0,-1,0
#23:37687,1,3,3,0
#23:3769,0,0,0,0
#23:37694,1,2,1,0
#23:37704,1,4,4,0
#23:37707,1,7,4,-4
#23:37708,1,1,3,1
#23:37709,0,3,4,0
#23:3771,1,0,0,1
#23:37716,0,0,0,0
#23:37718,0,3,2,0
#23:37728,0,4,0,0
#23:37729,0,4,3,0
#23:3773,0,0,1,0
#23:37734,0,5,1,0
#23:37735,0,0,0,0
#23:37736,0,1,-1,0
#23:3775,1,0,0,1
#23:37773,0,0,0,0
#23:37781,0,1,1,0
#23:37785,0,0,0,0
#23:37792,0,10,6,0
#23:37795,1,1,3,0
#23:37797,0,0,3,0
#23:37799,0,0,3,0
#23:37808,1,3,2,0
#23:37816,0,6,6,0
#23:37819,1,1,3,0
#23:37827,1,9,12,0
#23:37830,0,0,1,0
#23:37839,0,0,2,0
#23:37844,0,1,1,0
#23:37846,1,0,0,0
#23:37849,0,0,2,0
#23:37850,1,0,0,0
#23:37858,0,2,0,0
#23:37861,0,0,3,0
#23:37862,0,0,2,0
#23:37883,0,1,0,0
#23:3789,1,0,-2,3
#23:37890,0,4,1,0
#23:37896,1,0,0,0
#23:37897,0,1,0,0
#23:37901,0,-2,1,0
#23:37902,1,4,4,0
#23:37907,0,-1,0,0
#23:3791,0,0,2,1
#23:37917,0,2,0,0
#23:37926,0,0,1,0
#23:37927,0,0,4,0
#23:37930,0,0,1,0
#23:37938,1,0,0,0
#23:37942,1,0,0,0
#23:37943,1,0,0,0
#23:37949,1,0,0,0
#23:37950,0,1,0,0
#23:37962,0,0,-5,0
#23:37971,0,0,-1,0
#23:37972,0,0,2,0
#23:37981,0,3,0,0
#23:37987,1,0,0,0
#23:37990,0,0,1,0
#23:37991,1,0,0,0
#23:38000,0,0,1,0
#23:38004,0,4,0,0
#23:38007,0,1,0,0
#23:38012,0,1,0,0
#23:3802,0,1,1,0
#23:38021,0,0,1,0
#23:38031,0,2,0,0
#23:38038,0,0,2,0
#23:38042,1,0,0,0
#23:38046,0,6,7,0
#23:38051,1,9,12,0
#23:38055,-1,5,2,0
#23:38058,0,0,0,0
#23:3806,0,0,2,2
#23:38062,0,0,2,0
#23:38075,1,0,0,0
#23:38076,1,4,3,0
#23:38077,0,2,0,0
#23:38078,0,0,2,0
#23:38080,0,0,1,0
#23:38095,0,3,0,0
#23:3810,0,0,0,1
#23:38100,0,0,0,0
#23:38102,1,0,0,0
#23:38106,1,0,0,0
#23:3811,1,0,0,0
#23:38115,0,0,3,0
#23:38116,0,1,3,0
#23:38117,1,3,2,0
#23:38131,1,0,0,0
#23:38134,1,1,0,0
#23:38143,0,3,0,0
#23:38145,0,3,0,0
#23:38153,0,0,2,0
#23:38171,0,0,1,0
#23:38173,0,1,3,0
#23:38174,0,0,0,0
#23:38175,1,1,1,0
#23:38188,1,11,8,0
#23:3819,0,0,0,0
#23:38199,0,2,1,0
#23:38202,0,0,1,0
#23:38204,0,3,0,0
#23:38206,0,0,0,0
#23:38207,0,4,0,0
#23:3821,0,0,0,0
#23:38210,0,4,-1,0
#23:38211,0,0,0,0
#23:38215,0,2,7,0
#23:3822,1,0,0,0
#23:38222,0,5,4,0
#23:38229,1,9,9,0
#23:38235,0,2,-1,0
#23:38258,0,-7,0,0
#23:38264,0,-2,-5,0
#23:38269,0,-2,-1,0
#23:38285,0,-3,1,-1
#23:38286,0,4,-2,0
#23:38287,0,2,4,0
#23:3829,1,0,0,0
#23:38295,0,0,0,0
#23:38297,0,0,0,0
#23:38298,1,7,10,7
#23:38302,1,5,7,0
#23:38308,0,0,1,0
#23:38309,0,3,0,3
#23:38310,0,5,0,0
#23:38312,0,1,1,0
#23:38313,0,0,2,0
#23:38316,0,0,1,0
#23:38317,0,0,1,0
#23:38318,1,9,7,0
#23:38319,0,-1,-2,0
#23:38321,1,11,8,0
#23:38322,0,0,0,0
#23:38323,1,9,8,0
#23:38331,0,0,1,0
#23:38335,1,0,0,0
#23:38337,0,0,1,0
#23:38348,0,2,7,0
#23:3835,1,0,2,0
#23:38354,0,0,2,0
#23:3836,0,0,0,2
#23:38361,1,11,7,0
#23:38367,0,1,0,0
#23:38371,0,0,1,0
#23:38377,0,0,2,0
#23:38382,0,0,2,0
#23:38384,-1,6,5,0
#23:38387,0,0,1,0
#23:38388,0,0,-1,0
#23:38390,0,2,0,0
#23:38396,0,6,0,0
#23:38398,0,0,2,0
#23:38404,0,1,2,0
#23:38405,0,1,-1,0
#23:38410,0,2,0,0
#23:38414,0,0,0,0
#23:38416,0,3,0,0
#23:3842,1,0,0,0
#23:38430,0,4,5,0
#23:38431,0,0,0,0
#23:38432,0,2,0,0
#23:38435,0,4,5,0
#23:38436,0,1,0,0
#23:3844,0,0,2,0
#23:38444,0,3,1,0
#23:38457,0,0,0,1
#23:38463,0,0,5,-2
#23:38466,0,3,-3,0
#23:38467,0,5,5,0
#23:38470,0,0,0,0
#23:38479,0,0,1,0
#23:3848,1,0,0,0
#23:38485,1,9,10,8
#23:38490,-1,0,0,0
#23:38491,0,3,-1,0
#23:38494,-1,0,0,0
#23:38497,0,2,0,0
#23:38499,0,8,6,0
#23:3850,0,0,0,1
#23:38504,0,1,0,0
#23:38505,0,0,0,0
#23:38513,0,0,0,0
#23:38520,0,0,4,2
#23:38523,0,1,4,2
#23:38531,1,9,12,0
#23:38534,1,3,10,4
#23:38535,1,6,8,0
#23:38537,1,0,0,0
#23:38547,1,0,1,0
#23:38548,0,2,1,0
#23:38550,1,0,0,0
#23:38551,0,8,3,0
#23:38552,0,4,2,0
#23:38553,0,0,-2,0
#23:3856,1,0,3,3
#23:38563,1,3,0,0
#23:38565,0,3,4,0
#23:38568,0,6,5,0
#23:38570,1,2,3,0
#23:38573,0,1,0,0
#23:3858,0,0,0,2
#23:38582,0,7,5,0
#23:38584,0,-2,2,0
#23:38586,0,8,8,0
#23:38590,1,5,4,0
#23:38592,1,5,9,2
#23:38593,1,4,8,0
#23:38594,1,2,1,0
#23:3860,0,2,0,0
#23:38600,0,3,0,0
#23:38614,1,1,1,0
#23:38616,0,0,3,0
#23:3862,0,0,0,1
#23:38620,1,0,6,-2
#23:38625,0,0,-1,0
#23:38627,0,2,0,0
#23:38628,1,6,8,0
#23:38631,0,0,1,0
#23:38637,0,-4,2,0
#23:38639,0,1,1,0
#23:38642,0,0,-1,0
#23:38643,0,1,1,0
#23:38644,0,1,0,0
#23:38645,1,0,0,0
#23:38647,1,0,0,0
#23:38649,0,1,2,0
#23:38652,0,1,-2,0
#23:38656,0,3,0,0
#23:38657,1,0,0,0
#23:38658,0,3,3,0
#23:38665,0,4,5,0
#23:38667,0,3,5,0
#23:38672,1,-2,-4,0
#23:38677,0,3,1,0
#23:38692,0,0,0,0
#23:38694,0,3,0,0
#23:38696,0,3,0,0
#23:38698,0,3,0,0
#23:3870,0,0,-2,0
#23:38700,1,1,4,0
#23:38703,0,0,0,0
#23:38706,0,2,6,0
#23:38714,0,-1,2,0
#23:38715,0,-3,0,-1
#23:38717,0,0,0,2
#23:38723,0,0,-3,0
#23:38728,1,2,5,0
#23:38732,0,1,3,0
#23:38748,0,0,0,0
#23:38764,1,0,0,0
#23:38777,0,0,1,-2
#23:38778,1,0,0,0
#23:38782,0,1,0,0
#23:38790,0,0,0,0
#23:38795,0,0,1,0
#23:38796,0,0,1,0
#23:38798,0,0,4,0
#23:38800,0,0,1,0
#23:38804,0,-1,0,0
#23:38807,1,0,2,0
#23:38808,1,0,0,0
#23:38809,0,5,9,0
#23:38810,1,9,12,0
#23:38819,1,7,2,0
#23:38821,1,0,0,0
#23:38822,0,1,0,0
#23:38823,0,0,0,0
#23:38826,0,5,0,0
#23:38827,0,6,0,0
#23:38830,0,2,0,0
#23:38841,0,3,2,0
#23:38843,1,7,6,0
#23:38844,0,0,0,0
#23:38849,1,3,1,0
#23:38856,1,0,0,0
#23:38864,0,1,0,0
#23:38866,0,0,0,0
#23:38875,1,-7,-8,0
#23:38877,1,3,3,0
#23:38879,0,0,0,0
#23:38884,1,-3,8,-2
#23:38885,0,0,-2,0
#23:38887,1,0,0,0
#23:38891,0,0,5,0
#23:38893,0,0,0,0
#23:38894,0,2,0,0
#23:38907,0,0,1,0
#23:38908,0,2,0,0
#23:38912,0,3,3,0
#23:38913,0,2,-1,0
#23:38924,0,1,0,0
#23:38927,1,9,7,0
#23:38929,1,9,10,0
#23:38931,0,0,0,0
#23:38936,0,8,6,0
#23:38937,1,5,-4,0
#23:38938,0,0,-1,0
#23:38940,0,1,0,0
#23:38948,1,0,2,0
#23:38949,0,-2,-1,0
#23:38956,1,-3,0,0
#23:38960,0,0,1,0
#23:38966,0,1,1,0
#23:38967,0,-1,0,0
#23:38971,0,3,0,0
#23:38975,0,3,0,0
#23:38978,0,0,3,0
#23:38990,0,0,1,0
#23:39009,0,3,2,0
#23:3901,0,0,2,5
#23:39028,0,1,1,0
#23:39029,0,0,3,0
#23:39030,0,-1,3,0
#23:3905,1,0,7,7
#23:39053,0,0,4,0
#23:39055,0,6,2,0
#23:39056,0,3,1,0
#23:39059,0,0,2,0
#23:39064,0,2,0,1
#23:39065,0,0,3,0
#23:39066,0,0,2,0
#23:39068,0,0,0,0
#23:39069,0,4,3,2
#23:39071,0,-12,-9,0
#23:39072,0,0,0,0
#23:39074,0,-12,-9,0
#23:39077,1,9,2,0
#23:3908,1,9,4,4
#23:39081,0,-1,-2,0
#23:39083,0,4,-1,0
#23:39088,0,0,0,0
#23:39089,0,0,0,0
#23:39091,0,-12,-9,0
#23:39093,0,0,2,3
#23:39101,1,9,8,0
#23:39104,0,0,1,0
#23:39113,1,-5,-8,0
#23:39115,0,2,1,0
#23:39119,0,2,1,0
#23:39120,1,0,0,-2
#23:39125,0,0,0,0
#23:39137,0,0,3,0
#23:39138,0,6,2,2
#23:39139,0,10,6,0
#23:39156,0,0,0,0
#23:39163,0,3,1,0
#23:39165,0,1,1,0
#23:39169,1,8,1,0
#23:39179,0,0,1,0
#23:39181,1,0,0,0
#23:39188,0,0,-2,0
#23:39196,0,2,4,0
#23:39199,0,1,3,0
#23:39200,0,0,1,0
#23:39203,1,6,4,2
#23:39205,-1,0,0,0
#23:39206,0,0,-1,0
#23:39207,0,0,3,0
#23:39208,0,0,2,0
#23:39210,0,0,0,0
#23:39211,0,0,0,0
#23:39213,0,2,2,0
#23:39218,1,0,0,0
#23:3922,0,0,-1,3
#23:39222,1,3,9,6
#23:3923,0,0,4,0
#23:39231,0,0,0,0
#23:39234,0,0,4,0
#23:39239,0,0,0,0
#23:3924,1,0,3,3
#23:39240,1,0,0,0
#23:39241,1,0,0,0
#23:39243,0,3,8,0
#23:39246,1,0,0,0
#23:39248,1,0,0,0
#23:3925,0,0,0,1
#23:39256,1,0,2,0
#23:39262,0,4,2,0
#23:39265,0,0,2,0
#23:39266,1,0,0,0
#23:39271,0,6,5,0
#23:39272,0,6,5,0
#23:39275,0,-2,0,0
#23:39276,0,5,2,0
#23:39278,0,2,2,2
#23:3928,1,1,4,3
#23:39280,0,3,3,0
#23:39282,0,2,-1,0
#23:39284,0,0,1,0
#23:39296,1,0,1,0
#23:39298,0,0,0,0
#23:39305,1,0,1,0
#23:39306,0,0,-1,0
#23:39311,0,-1,0,0
#23:39313,0,1,0,0
#23:39319,0,1,0,0
#23:39323,1,0,0,0
#23:39327,0,2,0,0
#23:3934,0,0,0,0
#23:39352,0,0,1,0
#23:39353,0,0,1,0
#23:39355,0,5,2,0
#23:39357,0,1,1,0
#23:39359,0,0,0,0
#23:3936,0,0,-2,0
#23:39362,0,0,0,0
#23:39365,0,0,0,0
#23:39366,0,0,0,0
#23:39367,0,-2,1,0
#23:3937,0,0,2,2
#23:39371,0,-4,2,2
#23:39372,1,0,0,0
#23:39381,0,2,-1,0
#23:39383,0,-1,0,0
#23:39386,0,0,-3,0
#23:39388,1,9,12,0
#23:3940,0,0,0,2
#23:39405,0,1,0,0
#23:39409,1,-1,4,0
#23:39410,0,0,3,0
#23:39413,1,9,9,0
#23:39414,1,11,9,0
#23:39426,0,0,3,0
#23:3943,0,0,2,2
#23:39440,0,0,-2,0
#23:39442,-1,0,0,0
#23:39449,0,2,0,0
#23:39450,0,1,0,0
#23:39455,0,0,2,0
#23:39467,0,2,-2,0
#23:39468,0,5,0,0
#23:3947,0,0,2,2
#23:39471,0,4,0,0
#23:39472,0,0,3,0
#23:39489,0,4,4,0
#23:39498,0,0,3,0
#23:39499,0,0,0,0
#23:39500,0,0,0,0
#23:39501,1,6,5,0
#23:39504,0,2,4,0
#23:39505,0,2,-6,0
#23:39511,1,0,0,0
#23:39517,1,4,4,-1
#23:39518,1,1,-1,0
#23:39525,0,0,0,0
#23:39528,0,2,2,0
#23:39536,0,0,0,0
#23:3954,0,0,1,0
#23:39544,0,-3,-1,0
#23:39545,1,4,9,0
#23:39547,-1,-2,0,0
#23:39549,-1,-1,0,0
#23:39560,0,1,1,0
#23:39571,1,5,3,0
#23:39572,1,0,0,0
#23:39576,0,0,-4,0
#23:39578,0,-2,0,0
#23:39585,0,0,0,0
#23:39586,0,0,0,0
#23:39587,0,1,0,0
#23:39590,0,5,2,0
#23:39594,1,2,2,0
#23:39604,0,7,0,0
#23:39605,0,-7,-2,-3
#23:39608,0,0,0,-1
#23:3961,1,0,3,6
#23:39611,0,3,0,0
#23:39615,0,0,0,0
#23:3962,1,0,0,0
#23:39623,1,1,1,0
#23:39630,0,-1,2,0
#23:39633,0,0,4,0
#23:39637,0,3,0,0
#23:39638,0,2,2,0
#23:39640,0,3,3,0
#23:39642,0,1,0,0
#23:39646,1,0,0,0
#23:3965,0,0,0,0
#23:39650,0,1,0,0
#23:39659,0,0,1,0
#23:39666,1,1,1,0
#23:39667,1,0,1,0
#23:39669,0,3,1,0
#23:39674,0,0,5,0
#23:39677,1,-1,4,0
#23:3968,0,0,1,0
#23:39684,1,9,12,0
#23:39686,1,9,12,0
#23:39688,0,3,3,0
#23:39694,0,0,1,0
#23:39696,0,6,3,0
#23:39698,0,1,2,0
