legid,ACT,CP,GT,WYR
#222:36027,1,0,0,0
#222:36041,0,0,0,0
#222:36046,1,-1,8,0
#222:36053,0,6,0,0
#222:36057,0,0,0,0
#222:36063,1,0,0,0
#222:36065,0,0,0,0
#222:36066,1,0,0,0
#222:36069,-1,-6,-5,0
#222:36074,0,-2,2,0
#222:36077,1,-3,2,2
#222:36079,0,-1,2,0
#222:36090,0,1,-2,0
#222:36092,-1,0,0,0
#222:36097,1,0,0,0
#222:36101,0,0,1,0
#222:36102,0,0,1,0
#222:36112,1,5,4,0
#222:36113,0,1,3,0
#222:36125,1,0,0,0
#222:36132,0,0,2,0
#222:36134,1,-2,-3,0
#222:36140,1,0,0,0
#222:36141,0,0,1,0
#222:36145,1,0,0,0
#222:36149,0,0,3,0
#222:36150,0,0,4,0
#222:36160,0,5,-2,0
#222:36162,1,2,2,1
#222:36176,1,0,0,0
#222:36177,1,0,0,0
#222:36183,0,-3,2,0
#222:36203,1,9,9,0
#222:36205,1,0,0,0
#222:36210,1,0,0,0
#222:36216,0,0,5,0
#222:36218,0,0,0,0
#222:36219,1,-5,4,0
#222:36240,1,3,0,0
#222:36241,0,2,2,0
#222:36247,1,11,8,0
#222:36248,0,3,5,0
#222:36250,1,2,1,0
#222:36252,1,0,0,0
#222:36253,1,3,9,0
#222:36262,0,1,0,0
#222:36264,0,2,0,0
#222:36265,0,0,2,0
#222:36266,0,1,0,0
#222:36271,1,0,0,0
#222:36276,1,2,3,0
#222:36292,0,0,1,0
#222:36331,0,2,2,0
#222:36335,0,-1,4,0
#222:36355,0,5,3,0
#222:36356,0,2,2,0
#222:36361,0,-1,0,0
#222:36378,0,3,-2,0
#222:36384,0,0,2,0
#222:36387,1,4,2,0
#222:36392,0,2,4,1
#222:36395,0,4,0,0
#222:36397,0,1,0,0
#222:36398,0,3,-1,0
#222:36399,0,2,0,0
#222:36409,-1,-2,2,0
#222:36412,1,-3,1,0
#222:36413,1,0,0,0
#222:36415,1,0,0,0
#222:36416,0,2,1,0
#222:36417,0,1,2,0
#222:36424,1,6,-3,1
#222:36447,0,0,0,0
#222:36456,0,0,-1,0
#222:36474,0,1,0,0
#222:36486,0,5,5,0
#222:36500,0,0,-1,1
#222:36514,1,3,3,-3
#222:36524,0,1,1,0
#222:36525,0,0,5,0
#222:36541,0,3,3,0
#222:36559,0,5,2,0
#222:36581,1,0,0,0
#222:36612,0,5,0,0
#222:36615,0,0,4,0
#222:36616,0,0,0,0
#222:36619,0,2,2,0
#222:36621,0,0,2,0
#222:36624,0,0,-2,0
#222:36630,0,0,-1,0
#222:36638,0,0,2,0
#222:36640,0,3,2,0
#222:36650,0,0,1,0
#222:36657,1,0,0,0
#222:36677,0,-2,0,0
#222:36684,1,8,6,0
#222:36685,0,-2,1,0
#222:36686,1,2,8,0
#222:36687,0,-3,-1,0
#222:36690,0,0,-2,0
#222:36704,0,0,0,1
#222:36706,0,0,4,0
#222:36718,1,1,1,0
#222:36719,1,1,1,1
#222:36720,1,1,1,0
#222:36731,0,2,2,0
#222:36732,0,3,4,1
#222:36733,0,-2,5,0
#222:36737,1,9,9,0
#222:36751,0,2,0,0
#222:36757,0,0,0,0
#222:36758,0,0,0,0
#222:36780,0,2,2,0
#222:36797,1,0,0,0
#222:36802,0,3,3,0
#222:36805,0,-1,0,1
#222:36833,0,0,4,0
#222:36835,1,0,0,0
#222:36854,0,0,2,0
#222:36856,-1,3,4,0
#222:36865,0,0,2,1
#222:36869,1,2,3,0
#222:36875,0,4,0,0
#222:36878,1,1,2,0
#222:36887,0,0,0,0
#222:36888,0,0,0,0
#222:36903,1,0,-4,0
#222:36904,0,0,3,0
#222:36921,0,-7,0,0
#222:36923,0,-4,-1,0
#222:36928,0,0,-1,0
#222:36944,0,-1,0,0
#222:36952,1,2,3,-1
#222:36958,0,1,0,0
#222:36975,1,-4,2,0
#222:36978,1,0,0,0
