legid,temperature_category,weather_group
#24:15941,cool,Clouds
#22:16902,cool,Clouds
#25:16729,cool,Clouds
#25:17779,cool,Clouds
#22:17901,cool,Clouds
#28:4993,cool,Clouds
#24:17822,cool,Clouds
#25:17849,cool,Clouds
#24:18995,cool,Clouds
#29:5232,cool,Clouds
#25:18953,cool,Clouds
#23:19219,cool,Clouds
#27:5360,cool,Clouds
#25:19130,cool,Clouds
#24:19168,cool,Clouds
#28:5321,cool,Clouds
#25:19126,cool,Clouds
#23:19216,cool,Clouds
#25:19128,cool,Clouds
#22:19300,cool,Clouds
#28:5337,cool,Clouds
#23:19268,cool,Clouds
#25:19179,cool,Clouds
#24:19301,cool,Clouds
#22:19673,cool,Clouds
#23:19641,cool,Clouds
#24:19594,cool,Clouds
#23:28058,cool,Clouds
#26:7972,cool,Clouds
#24:28009,cool,Clouds
#23:28059,cool,Clouds
#23:28561,cool,Clouds
#25:28467,cool,Clouds
#27:8079,cool,Clouds
#22:28594,cool,Clouds
#25:29019,cool,Clouds
#22:29146,cool,Clouds
#24:29062,cool,Clouds
#25:29018,cool,Clouds
#23:29602,cool,Clouds
#27:8331,cool,Clouds
#24:29553,cool,Clouds
#28:8293,cool,Clouds
#25:29509,cool,Clouds
#23:35737,cool,Clouds
#24:35695,cool,Clouds
#24:37874,cool,Clouds
#27:10723,cool,Clouds
#25:37827,cool,Clouds
#22:37965,cool,Clouds
#28:10684,cool,Clouds
#23:37925,cool,Clouds
#23:38251,cool,Clouds
#26:10884,cool,Clouds
#25:38154,cool,Clouds
#23:17864,cool,Clouds
#24:17849,cool,Clouds
#23:17931,cool,Clouds
#22:18106,cool,Clouds
#24:18143,cool,Clouds
#22:18736,cool,Clouds
#22:18737,cool,Clouds
#24:18658,cool,Clouds
#27:5206,cool,Clouds
#22:18897,cool,Clouds
#23:18865,cool,Clouds
#27:5391,cool,Clouds
#25:19228,cool,Clouds
#22:19473,cool,Clouds
#22:19560,cool,Clouds
#24:19712,cool,Clouds
#24:19713,cool,Clouds
#25:19671,cool,Clouds
#22:20001,cool,Clouds
#23:19969,cool,Clouds
#22:20264,cool,Clouds
#23:20232,cool,Clouds
#24:20185,cool,Clouds
#25:20143,cool,Clouds
#24:20187,cool,Clouds
#23:20530,cool,Clouds
#23:21007,cool,Clouds
#24:21062,cool,Clouds
#28:5855,cool,Clouds
#25:21020,cool,Clouds
#29:5818,cool,Clouds
#22:21142,cool,Clouds
#26:5932,cool,Clouds
#23:21110,cool,Clouds
#24:21063,cool,Clouds
#25:21021,cool,Clouds
#26:5091,cool,Clouds
#22:17994,cool,Clouds
#24:17915,cool,Clouds
#27:5052,cool,Clouds
#25:17870,cool,Clouds
#23:18342,cool,Clouds
#25:22353,cool,Clouds
#26:6335,cool,Clouds
#22:22476,cool,Clouds
#23:18113,cool,Clouds
#22:18427,cool,Clouds
#28:5119,cool,Clouds
#23:18395,cool,Clouds
#24:18348,cool,Clouds
#23:18863,cool,Clouds
#25:18307,cool,Clouds
#22:18429,cool,Clouds
#29:5082,cool,Clouds
#23:18397,cool,Clouds
#24:18350,cool,Clouds
#25:18308,cool,Clouds
#26:5195,cool,Clouds
#22:18430,cool,Clouds
#23:19126,cool,Clouds
#24:19079,cool,Clouds
#25:19037,cool,Clouds
#22:19159,cool,Clouds
#24:19080,cool,Clouds
#25:19038,cool,Clouds
#22:19160,cool,Clouds
#28:5299,cool,Clouds
#23:19128,cool,Clouds
#25:19039,cool,Clouds
#23:18930,cool,Clouds
#26:5304,cool,Clouds
#22:18964,cool,Clouds
#27:5266,cool,Clouds
#23:18932,cool,Clouds
#28:5229,cool,Clouds
#24:18885,cool,Clouds
#22:19161,cool,Clouds
#23:21380,cool,Clouds
#23:19129,cool,Clouds
#25:19040,cool,Clouds
#24:21334,cool,Clouds
#26:6023,cool,Clouds
#25:21292,cool,Clouds
#25:19552,cool,Clouds
#24:21337,cool,Clouds
#27:5985,cool,Clouds
#25:21295,cool,Clouds
#22:19969,cool,Clouds
#27:5553,cool,Clouds
#23:19937,cool,Clouds
#26:5591,cool,Clouds
#22:21411,cool,Clouds
#26:6022,cool,Clouds
#23:21379,cool,Clouds
#27:5983,cool,Clouds
#22:21410,cool,Clouds
#28:5945,cool,Clouds
#24:21331,cool,Clouds
#22:21539,cool,Clouds
#27:6019,cool,Clouds
#23:21507,cool,Clouds
#24:21460,cool,Clouds
#25:21418,cool,Clouds
#22:22732,cool,Clouds
#27:6363,cool,Clouds
#23:22700,cool,Clouds
#24:22648,cool,Clouds
#29:6287,cool,Clouds
#25:22605,cool,Clouds
#22:22728,cool,Clouds
#23:22696,cool,Clouds
#25:22604,cool,Clouds
#22:22727,cool,Clouds
#23:22695,cool,Clouds
#23:22697,cool,Clouds
#24:22650,cool,Clouds
#26:6402,cool,Clouds
#25:22607,cool,Clouds
#23:22694,cool,Clouds
#28:6324,cool,Clouds
#24:22647,cool,Clouds
#25:22602,cool,Clouds
#26:6401,cool,Clouds
#22:22725,cool,Clouds
#23:22693,cool,Clouds
#25:23098,cool,Clouds
#22:23221,cool,Clouds
#27:6527,cool,Clouds
#23:23189,cool,Clouds
#24:31997,cool,Clouds
#25:31953,cool,Clouds
#29:8952,cool,Clouds
#22:32082,cool,Clouds
#22:32076,cool,Clouds
#24:31992,cool,Clouds
#25:31948,cool,Clouds
#25:31945,cool,Clouds
#27:9028,cool,Clouds
#22:32074,cool,Clouds
#25:17833,cool,Clouds
#22:18079,cool,Clouds
#22:19783,cool,Clouds
#24:19704,cool,Clouds
#25:31951,cool,Clouds
#23:32039,cool,Clouds
#23:38690,cool,Clouds
#22:18933,cool,Clouds
#23:18901,cool,Clouds
#24:18854,cool,Clouds
#22:18934,cool,Clouds
#25:18813,cool,Clouds
#25:18144,cool,Clouds
#23:18234,cool,Clouds
#22:18267,cool,Clouds
#23:18236,cool,Clouds
#23:18240,cool,Clouds
#28:5074,cool,Clouds
#24:18193,cool,Clouds
#22:17999,cool,Clouds
#25:18085,cool,Clouds
#23:18200,cool,Clouds
#27:5104,cool,Clouds
#24:18153,cool,Clouds
#25:18111,cool,Clouds
#25:18309,cool,Clouds
#27:5157,cool,Clouds
#22:18431,cool,Clouds
#26:5221,cool,Clouds
#24:18464,cool,Clouds
#25:18708,cool,Clouds
#29:5156,cool,Clouds
#22:18830,cool,Clouds
#23:18798,cool,Clouds
#23:18953,cool,Clouds
#28:5238,cool,Clouds
#23:19187,cool,Clouds
#29:5278,cool,Clouds
#24:19140,cool,Clouds
#22:19443,cool,Clouds
#24:19399,cool,Clouds
#28:5389,cool,Clouds
#25:19357,cool,Clouds
#22:19581,cool,Clouds
#23:19549,cool,Clouds
#24:19502,cool,Clouds
#22:19658,cool,Clouds
#23:19626,cool,Clouds
#25:19621,cool,Clouds
#22:19843,cool,Clouds
#25:19722,cool,Clouds
#22:19844,cool,Clouds
#25:19769,cool,Clouds
#26:5571,cool,Clouds
#22:19891,cool,Clouds
#27:5533,cool,Clouds
#23:19994,cool,Clouds
#27:5580,cool,Clouds
#23:20045,cool,Clouds
#28:5543,cool,Clouds
#24:20217,cool,Clouds
#25:20731,cool,Clouds
#25:20734,cool,Clouds
#27:5799,cool,Clouds
#22:20856,cool,Clouds
#28:5762,cool,Clouds
#23:20824,cool,Clouds
#25:20735,cool,Clouds
#24:20770,cool,Clouds
#28:5759,cool,Clouds
#22:20850,cool,Clouds
#27:5803,cool,Clouds
#28:5766,cool,Clouds
#22:20864,cool,Clouds
#29:5729,cool,Clouds
#23:20832,cool,Clouds
#26:5843,cool,Clouds
#24:20785,cool,Clouds
#27:5804,cool,Clouds
#25:20743,cool,Clouds
#22:20865,cool,Clouds
#28:5767,cool,Clouds
#23:20833,cool,Clouds
#23:21082,cool,Clouds
#25:20994,cool,Clouds
#24:21519,cool,Clouds
#23:21790,cool,Clouds
#26:6141,cool,Clouds
#24:21743,cool,Clouds
#23:21791,cool,Clouds
#27:6102,cool,Clouds
#24:21744,cool,Clouds
#22:21824,cool,Clouds
#23:21793,cool,Clouds
#24:21746,cool,Clouds
#24:21747,cool,Clouds
#22:21827,cool,Clouds
#23:21795,cool,Clouds
#29:6099,cool,Clouds
#22:22064,cool,Clouds
#26:6213,cool,Clouds
#23:22032,cool,Clouds
#24:21985,cool,Clouds
#25:21943,cool,Clouds
#24:22567,cool,Clouds
#25:22524,cool,Clouds
#25:22528,cool,Clouds
#26:6377,cool,Clouds
#22:22651,cool,Clouds
#22:22652,cool,Clouds
#24:22573,cool,Clouds
#25:22530,cool,Clouds
#25:25877,cool,Clouds
#22:26003,cool,Clouds
#23:25971,cool,Clouds
#25:25878,cool,Clouds
#24:25922,cool,Clouds
#22:26004,cool,Clouds
#28:7320,cool,Clouds
#25:25879,cool,Clouds
#22:26009,cool,Clouds
#23:25977,cool,Clouds
#25:25881,cool,Clouds
#27:7359,cool,Clouds
#22:26007,cool,Clouds
#28:7321,cool,Clouds
#25:25882,cool,Clouds
#22:26008,cool,Clouds
#29:7283,cool,Clouds
#23:25976,cool,Clouds
#25:25884,cool,Clouds
#22:26005,cool,Clouds
#29:7282,cool,Clouds
#24:25924,cool,Clouds
#24:27168,cool,Clouds
#27:7684,cool,Clouds
#25:27124,cool,Clouds
#23:27229,cool,Clouds
#24:27180,cool,Clouds
#28:7650,cool,Clouds
#22:27262,cool,Clouds
#29:7612,cool,Clouds
#23:27230,cool,Clouds
#22:27252,cool,Clouds
#26:7726,cool,Clouds
#23:27220,cool,Clouds
#27:7685,cool,Clouds
#22:27256,cool,Clouds
#23:27224,cool,Clouds
#26:5128,cool,Clouds
#22:18152,cool,Clouds
#25:18069,cool,Clouds
#27:5097,cool,Clouds
#22:18191,cool,Clouds
#23:18159,cool,Clouds
#25:18393,cool,Clouds
#29:5103,cool,Clouds
#22:18515,cool,Clouds
#23:18483,cool,Clouds
#26:5216,cool,Clouds
#24:18436,cool,Clouds
#25:18394,cool,Clouds
#24:19271,cool,Clouds
#24:19774,cool,Clouds
#29:5452,cool,Clouds
#25:19732,cool,Clouds
#26:5565,cool,Clouds
#22:19854,cool,Clouds
#27:5527,cool,Clouds
#23:19822,cool,Clouds
#22:19834,cool,Clouds
#26:5560,cool,Clouds
#22:19831,cool,Clouds
#24:19750,cool,Clouds
#28:5484,cool,Clouds
#25:19708,cool,Clouds
#25:19183,cool,Clouds
#23:19272,cool,Clouds
#23:19479,cool,Clouds
#22:20757,cool,Clouds
#24:20675,cool,Clouds
#22:20755,cool,Clouds
#27:5771,cool,Clouds
#24:20676,cool,Clouds
#28:5734,cool,Clouds
#22:20756,cool,Clouds
#24:20500,cool,Clouds
#25:20458,cool,Clouds
#23:20726,cool,Clouds
#29:6061,cool,Clouds
#25:21819,cool,Clouds
#24:18088,cool,Clouds
#25:18356,cool,Clouds
#23:18822,cool,Clouds
#23:18934,cool,Clouds
#24:19121,cool,Clouds
#22:19177,cool,Clouds
#24:19095,cool,Clouds
#23:19170,cool,Clouds
#28:5311,cool,Clouds
#25:19081,cool,Clouds
#22:19380,cool,Clouds
#28:5362,cool,Clouds
#24:19300,cool,Clouds
#29:5325,cool,Clouds
#25:19258,cool,Clouds
#24:19507,cool,Clouds
#25:19465,cool,Clouds
#28:5420,cool,Clouds
#22:19587,cool,Clouds
#22:19793,cool,Clouds
#23:19893,cool,Clouds
#22:20023,cool,Clouds
#29:5489,cool,Clouds
#23:19991,cool,Clouds
#24:20607,cool,Clouds
#25:20565,cool,Clouds
#22:20687,cool,Clouds
#23:20951,cool,Clouds
#24:20904,cool,Clouds
#27:5846,cool,Clouds
#22:20984,cool,Clouds
#24:21144,cool,Clouds
#25:21102,cool,Clouds
#22:21225,cool,Clouds
#25:21101,cool,Clouds
#22:21223,cool,Clouds
#22:21839,cool,Clouds
#22:22105,cool,Clouds
#24:22174,cool,Clouds
#25:22132,cool,Clouds
#25:22133,cool,Clouds
#26:6261,cool,Clouds
#22:22255,cool,Clouds
#27:6222,cool,Clouds
#22:23474,cool,Clouds
#28:6578,cool,Clouds
#24:23392,cool,Clouds
#26:6656,cool,Clouds
#23:23440,cool,Clouds
#22:23466,cool,Clouds
#22:23462,cool,Clouds
#29:6537,cool,Clouds
#24:23383,cool,Clouds
#25:23593,cool,Clouds
#27:6687,cool,Clouds
#22:23716,cool,Clouds
#23:31315,cool,Clouds
#29:8733,cool,Clouds
#24:31266,cool,Clouds
#25:24185,cool,Clouds
#25:24767,cool,Clouds
#23:24771,cool,Clouds
#25:25787,cool,Clouds
#28:7289,cool,Clouds
#22:25913,cool,Clouds
#24:25831,cool,Clouds
#23:25880,cool,Clouds
#24:27658,cool,Clouds
#23:27701,cool,Clouds
#25:27618,cool,Clouds
#23:27715,cool,Clouds
#29:7749,cool,Clouds
#22:27743,cool,Clouds
#23:27710,cool,Clouds
#25:27614,cool,Clouds
#25:32068,cool,Clouds
#29:8975,cool,Clouds
#22:32197,cool,Clouds
#22:32250,cool,Clouds
#26:9223,cool,Clouds
#24:32522,cool,Clouds
#25:33088,cool,Clouds
#25:34555,cool,Clouds
#22:34042,cool,Clouds
#24:34598,cool,Clouds
#27:9801,cool,Clouds
#25:34553,cool,Clouds
#22:34686,cool,Clouds
#24:34593,cool,Clouds
#24:34795,cool,Clouds
#25:34750,cool,Clouds
#22:35687,cool,Clouds
#23:35655,cool,Clouds
#24:36023,cool,Clouds
#28:10173,cool,Clouds
#25:35976,cool,Clouds
#23:38667,cool,Clouds
#24:38617,cool,Clouds
#25:38564,cool,Clouds
#23:38673,cool,Clouds
#29:10884,cool,Clouds
#25:38573,cool,Clouds
#22:38697,cool,Clouds
#24:38606,cool,Clouds
#24:39559,cool,Clouds
#24:39562,cool,Clouds
#24:39566,cool,Clouds
#24:39565,cool,Clouds
#28:11192,cool,Clouds
#25:39518,cool,Clouds
#225:34337,cool,Clouds
#222:34339,cool,Clouds
#223:34334,cool,Clouds
#229:9569,cool,Clouds
#224:34334,cool,Clouds
#225:34328,cool,Clouds
#225:34044,cool,Clouds
#223:34786,cool,Clouds
#226:9698,cool,Clouds
#225:34785,cool,Clouds
#227:9698,cool,Clouds
#223:34787,cool,Clouds
#23:18089,cool,Clouds
#23:18105,cool,Clouds
#24:18058,cool,Clouds
#27:5085,cool,Clouds
#25:18016,cool,Clouds
#23:18202,cool,Clouds
#23:18685,cool,Clouds
#23:18770,cool,Clouds
#24:18126,cool,Clouds
#24:18281,cool,Clouds
#22:18361,cool,Clouds
#28:5100,cool,Clouds
#24:18351,cool,Clouds
#22:18520,cool,Clouds
#23:19049,cool,Clouds
#24:19001,cool,Clouds
#23:19140,cool,Clouds
#23:19324,cool,Clouds
