legid,act_Accompanying,act_Browsing,act_Cycling,act_Driving,act_Eating,act_Listening,act_Other,act_PersonalCare,act_ReadingDevice,act_ReadingPaper,act_Relaxing,act_Talking,act_Thinking,act_Walking,act_Watching,activity_count
#22:10828,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10832,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10834,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10837,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3
#22:10839,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10846,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10860,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10875,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10878,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10882,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10883,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
#22:10887,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10889,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10894,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10898,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10902,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10903,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10904,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10905,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:10920,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10923,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3
#22:10925,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:10933,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,2
#22:10934,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10935,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,4
#22:10936,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,2
#22:10938,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,3
#22:10943,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3
#22:10947,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10950,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10973,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
#22:10976,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10978,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
#22:10979,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10980,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2
#22:10983,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
#22:10984,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,4
#22:10987,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
#22:10988,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10989,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10990,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
#22:10992,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
#22:10994,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
