tripid,mood_rating,did_you_have_to_arrive
#32:3481,-1.0,-1.0
#30:3602,-1.0,-1.0
#32:3492,-1.0,-1.0
#33:3461,-1.0,-1.0
#32:3544,-1.0,-1.0
#31:3607,-1.0,-1.0
#33:8987,3.0,0.0
#33:3486,-1.0,-1.0
#33:3488,3.0,0.0
#32:3509,-1.0,-1.0
#30:3628,-1.0,-1.0
#30:3561,-1.0,-1.0
#31:3684,-1.0,-1.0
#31:3545,-1.0,-1.0
#33:3547,-1.0,-1.0
#33:7618,4.0,1.0
#31:3580,-1.0,-1.0
#32:3570,-1.0,-1.0
#32:3579,-1.0,-1.0
#30:3892,-1.0,-1.0
#30:3637,-1.0,-1.0
#32:3580,-1.0,-1.0
#32:3581,-1.0,-1.0
#32:3648,-1.0,-1.0
#30:3639,-1.0,-1.0
#31:3618,-1.0,-1.0
#31:3606,-1.0,-1.0
#32:3582,-1.0,-1.0
#30:3640,-1.0,-1.0
#31:13261,4.0,1.0
#32:4187,-1.0,-1.0
#30:3659,-1.0,-1.0
#33:3565,-1.0,-1.0
#31:3660,-1.0,-1.0
#30:5002,-1.0,-1.0
#33:3599,-1.0,-1.0
#32:4225,-1.0,-1.0
#32:3622,-1.0,-1.0
#33:4918,-1.0,-1.0
#31:3669,-1.0,-1.0
#30:3758,-1.0,-1.0
#30:3708,-1.0,-1.0
#33:3678,-1.0,-1.0
#30:4246,-1.0,-1.0
#31:3712,-1.0,-1.0
#31:3739,-1.0,-1.0
#33:3645,-1.0,-1.0
#33:4537,-1.0,-1.0
#32:3668,-1.0,-1.0
#33:3643,-1.0,-1.0
#31:3720,4.0,1.0
#32:4188,-1.0,-1.0
#33:3676,4.0,1.0
#31:3722,-1.0,-1.0
#32:3740,4.0,1.0
#32:3716,-1.0,-1.0
#32:3704,-1.0,-1.0
#33:3730,4.0,0.0
#31:3752,-1.0,-1.0
#30:3762,-1.0,-1.0
#30:4622,-1.0,-1.0
#31:3755,-1.0,-1.0
#31:3754,-1.0,-1.0
#32:3766,5.0,0.0
#32:3743,-1.0,-1.0
#32:4138,4.0,1.0
#33:3708,-1.0,-1.0
#30:3790,-1.0,-1.0
#32:3752,-1.0,-1.0
#33:3720,-1.0,-1.0
#31:3788,-1.0,-1.0
#32:3757,-1.0,-1.0
#33:3734,-1.0,-1.0
#32:3760,-1.0,-1.0
#30:3818,-1.0,-1.0
#30:3835,-1.0,-1.0
#33:3743,5.0,0.0
#31:3837,-1.0,-1.0
#30:4604,-1.0,-1.0
#33:3752,-1.0,-1.0
#30:3916,-1.0,-1.0
#30:3836,-1.0,-1.0
#33:3749,-1.0,-1.0
#31:3839,-1.0,-1.0
#31:3822,-1.0,-1.0
#30:3857,-1.0,-1.0
#33:3786,-1.0,-1.0
#31:4586,-1.0,-1.0
#33:3784,-1.0,-1.0
#31:3874,-1.0,-1.0
#32:3953,-1.0,-1.0
#30:3867,-1.0,-1.0
#30:3860,-1.0,-1.0
#32:3814,-1.0,-1.0
#33:3930,-1.0,-1.0
#31:3848,-1.0,-1.0
#30:3895,-1.0,-1.0
#33:3844,-1.0,-1.0
#32:3812,-1.0,-1.0
#30:3883,-1.0,-1.0
#30:3902,-1.0,-1.0
#30:3925,-1.0,-1.0
#33:3814,-1.0,-1.0
#31:4224,-1.0,-1.0
#30:3894,-1.0,-1.0
#33:3812,-1.0,-1.0
#31:3881,-1.0,-1.0
#31:4134,5.0,0.0
#31:4439,-1.0,-1.0
#30:4011,-1.0,-1.0
#30:3932,-1.0,-1.0
#31:3918,-1.0,-1.0
#32:3881,-1.0,-1.0
#33:3858,-1.0,-1.0
#31:3921,-1.0,-1.0
#33:3863,-1.0,-1.0
#31:3931,-1.0,-1.0
#32:3938,-1.0,-1.0
#31:4440,-1.0,-1.0
#30:4005,-1.0,-1.0
#31:4144,-1.0,-1.0
#30:4462,-1.0,-1.0
#31:3935,-1.0,-1.0
#31:3984,-1.0,-1.0
#30:3989,-1.0,-1.0
#33:3915,-1.0,-1.0
#32:3948,-1.0,-1.0
#32:3954,-1.0,-1.0
#33:4379,-1.0,-1.0
#32:3918,-1.0,-1.0
#33:3916,-1.0,-1.0
#31:3959,-1.0,-1.0
#33:3908,-1.0,-1.0
#30:3996,-1.0,-1.0
#31:4225,-1.0,-1.0
#31:3973,-1.0,-1.0
#31:3975,-1.0,-1.0
#33:3931,-1.0,-1.0
#33:3917,-1.0,-1.0
#30:4012,-1.0,-1.0
#30:4108,-1.0,-1.0
#33:3948,-1.0,-1.0
#31:4086,-1.0,-1.0
#33:3945,-1.0,-1.0
#32:4050,-1.0,-1.0
#32:4053,-1.0,-1.0
#31:4129,-1.0,-1.0
#33:4524,-1.0,-1.0
#30:4065,-1.0,-1.0
#32:4092,-1.0,-1.0
#32:4403,-1.0,-1.0
#33:4068,-1.0,-1.0
#30:4149,-1.0,-1.0
#33:4376,-1.0,-1.0
#32:4012,-1.0,-1.0
#31:4437,-1.0,-1.0
#33:4030,-1.0,-1.0
#30:4150,-1.0,-1.0
#30:4103,-1.0,-1.0
#32:4140,-1.0,-1.0
#30:4216,-1.0,-1.0
#30:4151,-1.0,-1.0
#31:4126,-1.0,-1.0
#32:4089,-1.0,-1.0
#30:4691,-1.0,-1.0
#33:4035,-1.0,-1.0
#33:4065,-1.0,-1.0
#33:4525,-1.0,-1.0
#30:4227,-1.0,-1.0
#33:4066,-1.0,-1.0
#30:4148,-1.0,-1.0
#33:4600,-1.0,-1.0
#32:4169,-1.0,-1.0
#32:4404,-1.0,-1.0
#30:4177,-1.0,-1.0
#32:4132,-1.0,-1.0
#33:4528,-1.0,-1.0
#32:4401,-1.0,-1.0
#33:4377,-1.0,-1.0
#31:4432,-1.0,-1.0
#30:4228,-1.0,-1.0
#33:4134,-1.0,-1.0
#32:4157,-1.0,-1.0
#32:4158,-1.0,-1.0
#30:4460,-1.0,-1.0
#32:4553,-1.0,-1.0
#33:4139,2.0,1.0
#32:4175,-1.0,-1.0
#33:4213,-1.0,-1.0
#32:4396,-1.0,-1.0
#30:4296,-1.0,-1.0
#30:4247,-1.0,-1.0
#30:4324,-1.0,-1.0
#33:4164,-1.0,-1.0
#31:4227,-1.0,-1.0
#32:4561,-1.0,-1.0
#30:4352,-1.0,-1.0
#32:4402,-1.0,-1.0
#31:4302,-1.0,-1.0
#30:4419,-1.0,-1.0
#33:4372,-1.0,-1.0
#30:4461,-1.0,-1.0
#30:4273,-1.0,-1.0
#33:4530,-1.0,-1.0
#31:4592,-1.0,-1.0
#31:4397,-1.0,-1.0
#31:4283,-1.0,-1.0
#32:4247,-1.0,-1.0
#30:4306,-1.0,-1.0
#30:4615,-1.0,-1.0
#32:4266,-1.0,-1.0
#32:4361,-1.0,-1.0
#32:4621,-1.0,-1.0
#32:4556,-1.0,-1.0
#30:4330,-1.0,-1.0
#33:4337,-1.0,-1.0
#32:4397,-1.0,-1.0
#32:4296,-1.0,-1.0
#33:4375,-1.0,-1.0
#30:4456,-1.0,-1.0
#32:4398,-1.0,-1.0
#33:4336,-1.0,-1.0
#33:4374,-1.0,-1.0
#30:4457,-1.0,-1.0
#30:4549,-1.0,-1.0
#31:4476,-1.0,-1.0
#31:4527,-1.0,-1.0
#32:4491,-1.0,-1.0
#30:4550,-1.0,-1.0
#31:4528,-1.0,-1.0
#32:4492,-1.0,-1.0
